,id,title,abstract,pillar,research_category,truncated,LR,SVC,MLP
2096,EP-4739778-A2,RNA MOLECULE,"The present invention relates to RNA molecules, and particularly, although not exclusively, to methods for preparing RNA molecules, and to methods for translating RNA molecules into protein. The invention extends to improved methods for forming RNA by in vitro transcription, and to the resultant RNA molecules. Furthermore, the invention relates to novel methods for enhancing the expression and/or translation of RNA, i.e. protein expression, and to methods for improving the stability of an RNA molecule. The invention also involves reducing the activation of innate sensing, interferon generation and/or degradation of an RNA molecule in a host. The invention also incorporates the use of the RNA molecules in vaccines and other therapeutic pharmaceutical compositions, and their use in immunisation and therapy, such as RNAi, gene therapy, gene editing and protein replacement. In particular, the invention relates to locked nucleotides and locked nucleic acid (LNA)-RNA molecules, and the use or incorporation of such locked nucleotides and LNA-RNA molecules in any of the above applications.",CM,Cell line development ,False,True,False,False
2040,WO-2025233614-A1,REACTOR APPARATUS,"There is provided a reactor apparatus (30) comprising: a reactor vessel (32); a media conditioning circuit (34) in fluid communication with the reactor vessel (32) so as to permit circulation of reaction media between the media conditioning circuit (34) and the reactor vessel (32), wherein the media conditioning circuit (34) includes at least one media conditioning module (46, 50, 52, 54, 56) configured to, in use, condition the reaction media within the media conditioning circuit (34); and a fluid flow controller (36, 48) configured to, in use, selectively reverse a flow direction of the reaction media through the reactor vessel (32).",CC,Bioprocess design,False,True,False,False
1128,JP-2026503396-A,Food powder with improved stability and method for producing same,"The present invention relates to a method for producing food powders with improved stability, in particular, reduced hygroscopic capacity and reduced hygroscopic stability. The method comprises providing a liquid food composition, drying the liquid food composition, and adding crystalline monosaccharides and/or disaccharides to the food powder. In particular, up to 30% of the monosaccharides and/or disaccharides of the food powder are amorphous, and the remainder of the monosaccharides and/or disaccharides of the food powder are crystalline. (Selected Figure)",PB,Ingredient optimisation,False,True,False,False
1862,WO-2025181349-A1,FOOD COMPRISING FISH MYOGLOBIN,"The present invention relates to a fish or meat substitute or a pet food, comprising a myoglobin from or derived from eastern Pacific bonito, sword fish or Atlantic blue marlin.",F,Target molecule selection,False,True,True,True
1267,US-20250215412-A1,Fusion Polypeptides with Deamidase Inhibitor and Deamidase Domains,"The present invention relates to polypeptides having deamidase activity and polynucleotides encoding the polypeptides. The invention also relates to nucleic acid constructs, vectors, and host cells comprising the polynucleotides as well as methods of producing and using the polypeptides.",PB,Ingredient optimisation,False,True,False,False
1150,US-20260132363-A1,A CULTURE DEVICE,"There is provided a culture device having a base with a first surface and a second surface fixedly arranged with respect to the first surface, and a flexible side wall extending from the base and defining an internal volume of the device, the first surface and the second surface being non-coplanar.",CM,Bioprocess design,False,True,False,False
399,US-12543765-B2,Method of making a dairy-free sweetened condensed milk,"The present invention relates to food compositions that are suitable dairy-free substitutes for sweetened condensed milk, processes for making such food compositions, and uses thereof.",PB,End product formulation,False,True,False,False
1213,EP-4658080-A1,RUBISCO IN CAKE,"The invention relates to a dough, batter or instant food mixture, comprising a non- denatured ribulose-1,5-bisphosphate carboxylase-oxygenase (RuBisCo) preparation, a starch, a sweetener and water and to a heated food product, preferably a baked or a fried food product, more preferably a cake, comprising a heated dough or batter according to the invention.",PB,Ingredient optimisation,False,True,True,False
2335,WO-2025071427-A1,APPARATUS WITH INTEGRATED ELECTRODES FOR ELECTRICAL MONITORING OF CELL CULTURES,"The invention is a device, shown in Fig 1., comprising at least one well with integrated electrodes, layers forming plates and at least two integrated electrodes positioned in at least two different planes inside the well, for electrical measurements of in vitro culture of biological constructs such as cells layer, 3D tissue constructs or organoids. The apparatus comprises at least one well with at least two integrated electrodes with at least one suspended electrode of the at least two electrodes integrated into the well at different planes, or with the plurality of suspended electrodes realized on multiple suspended layers in different combinations, Fig 4., The invention is a measurement instrument, capable for electrical measurements of in vitro culture of biological construct.",CM,Bioprocess design,False,True,True,True
1272,EP-4676238-A1,METHOD OF MAKING A FOOD PRODUCT USING MICROBIAL GROWTH AND PRODUCTS THEREOF,"Described is a method to prepare a food product, the method comprising steps of, providing a scaffolding substrate, inoculating said scaffolding substrate with at least two microbial species, the at least two microbial species comprising at least one filamentous fungus species, preferably a first filamentous fungus species and a second filamentous fungus species, and incubating said scaffolding substrate to allow the at least two microbial species to grow inside, outside, or inside and outside said scaffolding substrate, wherein the at least two microbial species enable a prolific growth of the at least one filamentous fungus species.",F,Bioprocess design,False,True,False,False
2063,US-20250302085-A1,"DIE FOR EXTRUDING A MATERIAL RICH IN PROTEINS AND WATER, AND SYSTEM FOR CONTINUOUSLY PREPARING AN EXTRUDED FOOD PRODUCT, COMPRISING SUCH A DIE","A tubular casing centered on an axis and a coaxial core mounted rotatably about the axis. An upstream part of the core extends into the casing so that a material flow channel is defined therebetween, which is annular in cross-section and centered on the axis. A downstream part of the core extends outside the casing and is coupled to a motor-drive for driving in rotation is fixedly secured to the casing and coaxially received in the casing so that a passage is delimited therebetween, connecting a central inlet of the casing and an upstream end of the channel. The passage is shaped so that the material advances through the passage forming a flow that diverges from the axis toward the downstream and is distributed around the axis. The male divergent part abuts axially against the upstream part of the core, supporting same and guiding same in rotation.",CC,Texturization methods,False,True,False,False
1685,JP-2025538574-A,"FGF-2 polypeptides with improved stability, methods for preparing FGF-2 polypeptides and uses thereof - Patent Application 20070122997","The present invention relates to fibroblast growth factor 2 (FGF-2) polypeptides that have improved stability while maintaining biological activity compared to wild-type FGF-2. The present invention provides processes for their preparation and use in biotechnology research and industrial applications, the pharmaceutical industry, cosmetics, the purified meat industry, the generation of organoids and 3D cell culture models, and other related applications.",CM,Cell culture media,False,True,False,True
2283,EP-4508988-A1,"FERMENTED DIETARY PRODUCT, PROCESS FOR ITS PREPARATION AND USE","The invention relates to a fermented dietary product, process of its preparation based on plant raw materials and including selected strains of probiotic microorganisms specific for their characteristics, which has a marked health effect and is suitable as a food for people on a vegetarian or vegan diet as well as in accordance with religious concepts of nutrition. The fermented dietary product includes the plant raw materials pea protein, coconut flour, coconut milk, pectin and carrageenan and also strains Lactobacillus delbrueckii subsp. bulgaricus and Streptococcus thermophillus, isolated from sources of the territory of Bulgaria, more precisely:
Strain Lactobacillus delbrueckii subsp. bulgaricus DXB, registered in CCM under N&#186; 9196,
Strain Lactobacillus delbrueckii subsp. bulgaricus DXA, registered in CCM under N&#186; 9197,
Strain Lactobacillus delbrueckii subsp. bulgaricus DSW, registered in CCM under N&#186; 9198,
Strain Lactobacillus delbrueckii subsp. bulgaricus DLP, registered in CCM under N&#186; 9199,
Strain Lactobacillus delbrueckii subsp. bulgaricus DDM1, registered in CCM under N&#186; 9200 and
Strain Streptococcus thermophilus DWT4, registered in CCM under N&#186; 7992.",PB,End product formulation,False,True,False,False
1532,EP-4516112-A1,METHOD FOR PROCESSING SUGAR BEET BY-PRODUCT,The invention describes a method for processing a sugar beet by-product. This method makes it possible to reduce or eliminate the taste intensity and/or bitterness intensity and/or the smell intensity of a sugar beet by-product fermented by a fungus from the genus Morchella. Also described is a processed sugar beet by-product obtainable by the method according to the invention and compositions comprising it. This processed sugar beet by-product or composition is used as food or feed.,PB,Ingredient optimisation,False,True,True,True
1992,EP-4651721-A1,EDIBLE PRIMER FOR ABSORBENT FOOD PRODUCTS,"A method for decorating a foodstuff, comprising: a. providing a foodstuff base layer; b. applying an edible liquid primer to the surface of the foodstuff, wherein the primer comprises pectin; insoluble, edible particles; and water; c. drying the primer layer; d. printing one or more edible inkjet inks over the top of the primer layer; e. drying the one or more inkjet ink layers; to produce a finished, decorated foodstuff.",PB,Ingredient optimisation,False,True,False,False
1127,EP-4637369-A1,FOOD POWDER WITH IMPROVED STABILITY AND METHOD FOR MAKING THE SAME,"The invention relates to a method for making a food powder with improved stability, in particular decreased hygro-capacity and decreased hygro-stability. The method comprises the provision of a liquid food composition, the drying of the liquid food composition and the addition of crystalline mono- and/or di-saccharides to the food powder. In particular, at most 30% of the mono- and/or di-saccharides of the food powder are amorphous and the remainder of mono- and/or di-saccharides of the food powder are crystalline.",PB,Ingredient optimisation,False,True,False,False
1757,EP-4585053-A1,PROCESS FOR PREPARING A FLAVOUR COMPOSITION,"A method for preparing a flavour composition, comprising the steps of
a) providing a mixture of
i) cysteine, and
ii) acetoin; and

b) reacting said mixture to a flavor composition;
wherein the flavour composition comprises at least one or more compounds selected from the group consisting of 2,4,5-trimethyl-3-oxazoline, 4,5-dimethyloxazole, 2,4,5-trimethyloxazole, 2-methylthiazole, 4,5-dihydro-2-methylthiazole, trans- or cis-2,4,5-trimethyl-2,5-dihydrothiazole, 2-methyl-3-thiazoline, 2-acetyl-2-methyl-thiazolidine, 2-isopropylthiazolidine, 2,4,5-trimethylthiazole, and tetramethylpyrazine. The flavor composition is a meat flavor composition, in particular a ham and pork flavor composition.",PB,Ingredient optimisation,False,True,False,True
2017,GB-2640915-A,Edible beads,"An edible bead comprising an outer polysaccharide gel membrane and a filling. The filling comprises at least 5wt.% fruit derived ingredient(s), soluble dietary fibre(s) and less than 15 wt.% sugars. Preferably the fibre is inulin, galacto-oligosaccharide, polydextrose and/or fructo-oligosaccharide (FOS) and it is at least 5wt.% of the filling. Preferably, the filling is liquid. Preferably, the polysaccharide is an alginate. A process for preparing an edible bead comprises a) preparing a metal salt solution, comprising at least one fruit derived ingredient and at least one soluble dietary fibre, b) preparing a polysaccharide solution, and c) contacting the solutions to form a polysaccharide gel membrane and encapsulating the first solution in the polysaccharide gel membrane. Preferably, the metal salt is a calcium salt, and the fruit derived ingredient is a squash or fruit juice. Also claimed is a product comprising edible bead(s) dispersed in a beverage.",PB,Ingredient optimisation,False,True,False,True
1347,EP-4518685-A1,"METHOD OF PREVENTING AND/OR INHIBITING THE OUTGROWTH, SPORULATION, GERMINATION OR TOXIN FORMATION OF CLOSTRIDIUM","The present invention is related to a method of preventing and/or inhibiting the outgrowth of Clostridium, of preventing and/or inhibiting the sporulation of Clostridium, of preventing and/or inhibiting the germination of spores of Clostridium and/or of preventing and/or inhibiting the production of toxins of Clostridium in a product, comprising adding to the product, comprising adding to the product a Lamiaceae extract, ascorbic acid and/or acetic acid.",PB,End product formulation,False,True,True,True
183,US-20200288737-A1,New Lactobacillus Plantarum Strain Imparting High Thickness and/or High Ropiness and/or High Mouth Thickness to a Dairy Product Produced Therewith and Uses Thereof,"The application is directed to a Lactobacillus plantarum strain, having the ability to generate a fermented milk presenting a high thickness and/or a high ropiness and/or a high thickness in mouth. The application also concerns a Lactobacillus plantarum strain, having the ability to generate a fermented milk presenting a high thickness and/or a high ropiness and/or a high thickness in mouth, further being a low post acidification strain at the temperature of fermentation. The application is also about a method to manufacture fermented product, in particular a fermented dairy product, using a L. plantarum strain of the invention or a bacterial composition, composition or kit-of part comprising a L. plantarum strain of the invention.",PB,Strain development,False,True,False,False
1540,JP-2026514896-A,Method for preparing a stable emulsion by magnetic turbulence,"The present invention relates to a method for preparing a stable emulsion from a mixture comprising at least one hydrophilic fraction and at least one hydrophobic fraction, wherein at least one of the two fractions is liquid and the other is liquid or solid, by exclusively generating turbulence applied to the mixture, wherein the turbulence is generated and maintained by at least one magnetic force created by at least two identical magnetic poles.",PB,End product formulation,False,True,True,True
2369,WO-2025219967-A1,"FOAMING LIQUID CREAMERS FOR AEROSOL PACKAGING, AND METHODS OF MAKING AND USING SUCH FOAMING LIQUID CREAMERS AND AEROSOL PACKAGINGS","A foaming liquid creamer contains water, a lipid, a buffer salt, a stabilizer, and a dairy protein. Optionally the foaming liquid creamer further contains a sugar and/or a flavor. The buffer salt may include at least one of sodium bicarbonate or dipotassium phosphate. The stabilizer may include at least one of carrageenan, carboxymethyl cellulose (CMC), microcrystalline cellulose (MCC), or guar gum. The dairy protein may include at least one of micellar casein or sodium caseinate. The emulsifier may include mono- and di-glycerides. The lipid may include an oil. The foaming liquid creamer may additionally include an emulsifier such as mono- and di- glycerides. Another aspect is an aerosol packaging which includes the foaming liquid creamer in a pressurized container, and the aerosol packaging has an actuator nozzle.",PB,End product formulation,False,True,False,True
2,US-20170298457-A1,LACTIC BACTERIUM WITH MODIFIED GALACTOKINASE EXPRESSION FOR TEXTURIZING FOOD PRODUCTS BY OVEREXPRESSION OF EXOPOLYSACCHARIDE,"The present invention relates to a bacterial cell with texturizing property, starter cultures comprising the cell, and diary products fermented with the starter culture.",PB,Strain development,False,True,False,False
441,US-20230189832-A1,FIBER SUPPLEMENTED ACIDIFIED DAIRY PRODUCTS AND METHODS FOR PROVIDING THE SAME,"Provided is a method for providing a spoonable acidified dairy product, comprising the steps of: a) providing an alpha-glucan composition comprising essentially linear isomalto/malto-polysaccharides (IMMPs) wherein the content of &#945;(1&#8594;6) glycosidic linkages is at least 70%; b) supplementing a milk product with said alpha-glucan composition; and c) acidifying the supplemented milk product to a pH below 5, preferably to a pH of about 4.6. Also provided are products obtainable by such a method. Also provided is the use of IMMPs with a content of &#945;(1&#8594;6) glycosidic linkages of at least 70% to improve the stability and/or sensory properties of acidified dairy products.",PB,End product formulation,False,True,False,False
2276,WO-2025132803-A1,3-HYDROXYBENZOIC ACID AND ITS USE AS A FLAVOR MODIFIER,"The present disclosure generally relates to 3-hydroxybenzoic acid (3HBA) and the use of this compounds to modify the flavor or taste of an ingestible composition. In some embodiments, the use of 3HBA includes its use to enhance a sweet taste, its use to reduce an off taste, such as an off taste of a high-intensity sweetener, its use to reduce a bitter taste, or any combination thereof. In certain embodiments, 3HBA used in combination with other natural taste modifiers, such as flavonoids or dihydrochalcones, or with other non-naturally-occurring sweetness enhancers. In certain aspects, the disclosure provides ingestible compositions that include such flavanone compounds or non-naturally-occurring compounds. In some related aspects, the ingestible compositions are, or are included within, various flavored products, such as food products, beverage products, pharmaceutical products, oral care products, or animal feed products.",PB,Ingredient optimisation,False,True,False,False
2204,FR-3162341-A1,NEW GABA-RICH MASK PRODUCT,"The present invention relates to a natural extract, preferably extracted from yeast, rich in gamma-aminobutyric acid (GABA), a product comprising such an extract and their use for masking flavors, especially bitter and sour, undesirable notes, especially sweeteners, proteins and metallic notes, or trigeminal sensations such as astringency, in a product, advantageously a food, pharmaceutical, nutraceutical, or flavoring preparation.",F,Ingredient optimisation,False,True,False,True
438,EP-3975743-A1,TEXTURISED FOOD PRODUCT COMPRISING DESTARCHED OATS AND METHOD FOR PRODUCING IT,"According to an example aspect of the present invention there is provided a method for producing food products, which comprise destarched oats, together with at least one other plant protein product, at least one starch component, or both. The method of the invention comprises cooking a mixture comprising destarched oats using hydrothermal cooking or extrusion cooking. The invention also relates to the use of destarched oats in the manufacture of food products and to food products comprising destarched oats.",PB,End product formulation,False,True,False,False
1054,US-20240180356-A1,MILK FOAMING DEVICE WITH THE APPLICATION OF PRESSURIZED GAS AND METHOD FOR THE PRODUCTION OF MILK FOAM,"The invention relates to a milk frothing device 1, a beverage preparation device 100 comprising the milk foaming device 1, and a method for producing milk foam. Particularly in the coffee beverage industry, there is a need for producing a variety of different milk modifications, such as fine-pored or coarse-pored milk foam, based on different milk starting products. This often requires a variety of different equipment.
    The invention makes it possible to produce a wide range of different milk modifications by applying compressed air to milk on an outlet side A of a pumping device 2. ",PB,End product formulation,False,True,False,False
2203,WO-2025242924-A1,NOVEL GABA-RICH MASKING PRODUCT,"The present invention relates to a natural extract, preferably a yeast extract, which is rich in gamma-aminobutyric acid (GABA), to a product comprising such an extract and to the use thereof for masking flavours, in particular bitter and acid flavours, undesirable notes, in particular of sweeteners or proteins, and metallic notes, or trigeminal sensations such as astringency, in a product, advantageously a food, pharmaceutical or nutraceutical product, or an aromatic preparation.",F,Ingredient optimisation,False,True,False,True
1735,WO-2025133173-A1,CHEESE SUBSTITUTE COMPRISING HYDROCOLLOIDS HAVING IMPROVED FIRMNESS,"Cheese substitute comprising 10 - 50 wt. % vegetable oil and/or fat, 2 - 25 wt.% plant-based protein, 0.1 &#8211; 1 wt. % xanthan gum, 0.1 &#8211; 1 wt. % locust bean gum, and not more than 5 wt.% starches and/or modified starches, wherein the wt.% are calculated on the total weight of the cheese substitute and a method for the preparation hereof.",PB,End product formulation,False,True,False,False
2256,WO-2024261383-A1,"FIBRE RICH COMPOSITION, METHOD FOR PRODUCING FIBRE RICH COMPOSITION AND FOODSTUFF","The present invention relates to a fibre rich composition derived from oat, the composition comprising dietary fibres in an amount of at least 35 % and carbohydrates in an amount of up to 6 % by dry weight of the composition. The present invention further relates to a foodstuff, comprising a fibre rich composition derived from oat, and the fibre rich composition comprises dietary fibres in an amount of at least 35 % and carbohydrates in an amount up to 6 % by dry weight of the composition. The present invention further relates to a method for producing a fibre rich composition, the method comprising providing an oat slurry comprising dietary fibres and isolating a fibre rich composition from the oat slurry.",PB,Ingredient optimisation,False,True,False,False
