,param_hidden_layer_sizes,param_learning_rate_init,param_alpha,param_solver,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
0,"(64, 32)",0.00035506214270707734,0.0001329291894316216,lbfgs,0.8918119335634233,0.01933770625720897,0.9019607843137255,0.016405098559491686,0.8967187578104954,0.014060740491975095,0.8808510638297872,0.023452561367072983,0.8924281723820909,0.01666913507486825
1,"(128, 64)",0.00029375384576328325,0.0006173770394704573,adam,0.8587751125349825,0.025297311032714404,0.8843137254901962,0.057300545867460605,0.8703286825687592,0.0334664443840992,0.8414893617021277,0.03470107751127681,0.8736531036872464,0.05091621934078574
2,"(64, 32)",0.006358358856676255,0.00023864188780056055,adam,0.9060873834512501,0.01706514800344549,0.9176470588235295,0.03330448578718243,0.9111751302699316,0.01054364325372508,0.8957446808510638,0.024629440218702597,0.9110929402654507,0.030622502764127032
3,"(128, 64)",0.01465535411872771,1.1527987128232396e-05,sgd,0.8268981041059018,0.034359339586427305,0.8872549019607842,0.06300497652180245,0.8538845882559902,0.025768716076086242,0.7946808510638298,0.05675310071637932,0.8732598436046711,0.05664859703681345
4,"(64, 32)",0.007119418600172993,4.335281794951564e-05,sgd,0.8332200394206332,0.0461077548303207,0.8392156862745098,0.02582733308297937,0.8359401222304733,0.034103455196912776,0.8159574468085106,0.05430744263021371,0.8232643123685224,0.029865103964667194
5,"(64, 32)",0.0007476312062252305,0.00037520558551242813,adam,0.8803828096021153,0.03566018307665136,0.8960784313725491,0.02582733308297941,0.8875975198253769,0.02252012092053666,0.8659574468085107,0.04774213972833379,0.8853690398233132,0.02482627918829729
6,"(256, 128)",0.0023345864076016252,0.00015833718339012057,adam,0.914965052005663,0.016997199484903115,0.8784313725490197,0.026196841599779218,0.8958728445945278,0.009173874212817993,0.9106382978723404,0.021116418341786403,0.8744229969648375,0.02275993692776098
7,"(256, 128)",0.08906204386161683,0.0007164040428191012,lbfgs,0.8956083388837335,0.016997469745927994,0.8990196078431373,0.015686274509803904,0.8972731776709276,0.015256191960754282,0.8861702127659573,0.019207946899221038,0.8899972423013148,0.016973002109266982
8,"(256, 128)",0.010988100318524607,1.3783237455007187e-05,lbfgs,0.89998740023027,0.01880622564850417,0.9049019607843138,0.013725490196078426,0.9022958158038282,0.011870763471703186,0.8904255319148937,0.022717187770279375,0.8963056035425323,0.01405382689191003
9,"(64, 32)",0.07886714129990492,1.5673095467235405e-05,sgd,0.9208404500678787,0.015961954425938632,0.877450980392157,0.043624696982915635,0.8976276415111961,0.016998200924875695,0.9170212765957448,0.02143557625490412,0.8756247184796889,0.03530272222896762
