,Threshold,out_LR,lost_LR,out_SVC,lost_SVC,out_MLP,lost_MLP,out_MLP_SVC,lost_MLP_SVC
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,29.8,1.35,2.82,0.0,20.98,0.2,20.98,0.2
2,0.01,31.47,1.43,4.86,0.0,24.29,0.24,24.41,0.24
3,0.015,32.73,1.59,6.82,0.0,26.57,0.41,26.65,0.37
4,0.02,33.88,1.8,8.65,0.0,28.45,0.49,28.61,0.45
5,0.025,34.53,1.84,10.78,0.0,29.31,0.49,29.47,0.45
6,0.03,35.1,1.88,12.33,0.04,29.84,0.49,30.04,0.45
7,0.035,35.63,1.88,13.55,0.04,30.45,0.49,30.69,0.45
8,0.04,36.04,1.92,14.94,0.04,31.14,0.53,31.39,0.49
9,0.045,36.45,1.96,16.69,0.04,31.67,0.53,31.92,0.49
10,0.05,36.73,1.96,18.29,0.04,32.12,0.61,32.37,0.57
11,0.055,37.06,2.04,19.47,0.08,32.57,0.61,32.82,0.57
12,0.06,37.22,2.08,20.53,0.16,32.86,0.61,33.14,0.57
13,0.065,37.55,2.08,21.59,0.16,33.39,0.61,33.67,0.57
14,0.07,38.04,2.08,22.69,0.16,33.76,0.61,34.04,0.57
15,0.075,38.24,2.16,23.59,0.16,33.96,0.61,34.24,0.57
16,0.08,38.61,2.16,24.45,0.16,34.45,0.65,34.78,0.61
17,0.085,38.65,2.2,25.31,0.24,34.73,0.73,35.1,0.69
18,0.09,38.86,2.24,25.88,0.29,35.18,0.82,35.67,0.73
19,0.095,39.02,2.24,26.61,0.29,35.43,0.86,36.0,0.78
20,0.1,39.14,2.29,27.06,0.29,35.71,0.9,36.29,0.82
21,0.105,39.14,2.29,27.63,0.29,35.92,0.94,36.45,0.86
22,0.11,39.27,2.33,28.65,0.29,36.2,1.02,36.65,0.86
23,0.115,39.43,2.37,29.18,0.33,36.41,1.1,36.86,0.9
24,0.12,39.63,2.41,29.84,0.33,36.61,1.14,37.02,0.9
25,0.125,39.8,2.41,30.49,0.33,36.82,1.14,37.18,0.9
26,0.13,39.96,2.41,30.82,0.37,36.94,1.14,37.31,0.9
27,0.135,40.04,2.41,31.43,0.37,37.14,1.14,37.51,0.9
28,0.14,40.16,2.41,31.59,0.37,37.39,1.18,37.71,0.9
29,0.145,40.29,2.41,31.96,0.37,37.67,1.27,37.96,0.94
30,0.15,40.37,2.41,32.33,0.37,37.8,1.31,38.04,0.94
31,0.155,40.41,2.45,32.65,0.37,37.92,1.31,38.2,1.02
32,0.16,40.45,2.45,32.98,0.41,38.04,1.31,38.33,1.02
33,0.165,40.49,2.45,33.55,0.45,38.2,1.31,38.49,1.02
34,0.17,40.53,2.45,34.12,0.49,38.45,1.31,38.73,1.02
35,0.17500000000000002,40.69,2.49,34.45,0.49,38.61,1.39,38.9,1.1
36,0.18,40.82,2.53,34.65,0.49,38.73,1.39,39.02,1.1
37,0.185,40.9,2.57,34.9,0.49,38.9,1.39,39.18,1.1
38,0.19,41.02,2.61,35.39,0.53,38.98,1.39,39.31,1.1
39,0.195,41.02,2.61,35.8,0.53,39.1,1.39,39.43,1.1
40,0.2,41.14,2.65,36.08,0.53,39.27,1.39,39.59,1.1
41,0.20500000000000002,41.18,2.65,36.41,0.53,39.35,1.43,39.67,1.14
42,0.21,41.27,2.65,36.82,0.53,39.43,1.43,39.76,1.14
43,0.215,41.27,2.65,37.22,0.61,39.55,1.43,39.88,1.14
44,0.22,41.27,2.65,37.63,0.61,39.67,1.51,39.96,1.18
45,0.225,41.35,2.69,37.92,0.61,39.67,1.51,39.96,1.18
46,0.23,41.43,2.69,38.12,0.61,39.71,1.55,40.04,1.22
47,0.23500000000000001,41.47,2.69,38.33,0.65,39.84,1.59,40.16,1.27
