Rank,publication_number,application_number,family_id,title,abstract,granted_date,granted_year,publication_date,publication_year,filing_date,year,Expiration date,Expiration year,priority_date,priority_year,Publication type,filing_status,Kind code,jurisdiction,Inventor names,Original assignee names,Current assignee names,GRID IDs,City of Current Assignee,State of Current Assignee,Country of Current Assignee,Funder,Funder Group,Funder Country,UIDs of supporting grants,Grant IDs,Patent citations,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,IPCR,cpc,id,scope,pillar,research_category,endproduct,ingredient,subpillar
7,EP-2079319-B2,EP07816204.7,38969498,CONSUMABLES,NA,2025-05-07,2025,2025-05-07,2025,2007-10-22,2007,2027-10-22,2027,2006-10-24,2006,Grant,Active,B2,EP,HANSEN CHAD ALLEN; SLACK JAY PATRICK; SIMONS CHRISTOPHER TODD,Givaudan SA,Givaudan SA,grid.480186.3,Vernier,NA,Switzerland,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-2079319-B2,NA,NA,NA,NA,NA,NA,NA,NA,A23L2/60; A23L27/00; A23L27/30; A23L33/105; A23L29/30,A23L29/30; A23L21/00; A23L2/60; A23L27/33; A23L33/105; A23L7/00; A23L27/34; A23L27/30; A23L29/37; A23L5/00; A23L27/36; A23V2002/00,EP-2079319-B2,out,NA,NA,NA,NA,NA
16,ES-2644220-T5,ES10751643,42829610,LACTIC BACTERIUM WITH MODIFIED GALACTOKINASE EXPRESSION FOR TEXTURIZING FOOD PRODUCTS BY OVEREXPRESSION OF EXOPOLYSACCHARIDE,NA,2025-04-21,2025,2025-04-21,2025,2010-09-01,2010,2030-09-01,2030,2009-09-01,2009,Grant,Active,T5,ES,JANZEN THOMAS; CHRISTIANSEN DITTE ELLEGAARD,Chr Hansen AS,Chr Hansen AS,grid.424026.6,Horsholm; Hørsholm,NA,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/ES-2644220-T5,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences",NA,NA,NA,NA,Basic Science,NA,NA,A23C9/12; C12N9/12; C12R1/46; A23L29/269,C12Y207/01006; A23C9/12; A23L33/135; A23V2002/00; A23V2400/249; C12R2001/46; A23C9/1238; C12N9/1205; C12N9/12; A23C19/0323; A23C2220/206; C12N1/205; A23L29/269,ES-2644220-T5,in,PB,Strain development,Yoghurt and fermented dairy,NA,NA
8,ES-3004341-T3,ES19173302,44510082,NUTRITIONAL COMPOSITION,"Non-medical use of at least two components selected from the group of: (i) nucleoside equivalents, (ii) n-3 polyunsaturated fatty acids selected from the group of DHA, DPA and EPA, (iii) B vitamins, (iv) phospholipids, (v) antioxidants and (vi) cholines - with the condition that at least one (i) nucleoside or at least one (iii) B vitamin is present - for increasing or maintaining body weight, for improving the ability to perform an activity of daily living of a mammal, for maintaining the ability to perform an activity of daily living of a mammal or for reducing an impairment in the ability to perform an activity of daily living of a mammal. (Automatic translation with Google Translate, no legal value)",2025-03-12,2025,2025-03-12,2025,2011-08-11,2011,2031-08-11,2031,2010-12-28,2010,Grant,Active,T3,ES,DE WILDE MATTHEUS CORNELIS; HAGEMAN ROBERT JOHAN JOSEPH; GROENENDIJK MARTINE; KAMPHUIS PATRICK JOSEPH GERARDUS HENDRIKUS,Nutricia NV,Nutricia NV,grid.573874.a,HM ZOETERMEER,NA,Netherlands,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/ES-3004341-T3,"30 Agricultural, Veterinary and Food Sciences; 32 Biomedical and Clinical Sciences; 3210 Nutrition and Dietetics",Complementary and Integrative Health; Dietary Supplements; Nutrition,Generic health relevance,NA,NA,Clinical Medicine and Science,NA,NA,A61K31/661; A23L33/13; A61K45/06; A61P25/28; A61K31/4415; A61K31/683; A61K31/14; A23L33/00; A23L33/12; A61K33/04; A61K31/675; A61K31/519; A61K31/355; A23L33/15; A61K31/20; A61K31/7056; A61K31/685; A61K31/375; A61K31/714; A61K31/7072; A61K31/202,A61K31/7068; A61K31/683; A23L33/13; A61K31/4985; A61K31/661; A61K31/7072; A23L33/12; C07H19/06; A23L33/40; A23L33/15; A61K31/70; A61K31/7056; A61K31/715; A61K31/44; A61K31/375; A61K31/4415; A61K31/20; A61P25/28; A61K31/685; A61K31/714; A61K31/688; A61K45/06; A61K31/675; A61K33/04; A61K31/14; A61K31/355; A61K31/519; A23V2002/00; C07H19/052; A23L33/14; A61K31/202,ES-3004341-T3,out,NA,NA,NA,NA,NA
10,EP-3542807-B1,EP19170847.8,44899093,"LACTOBACILLUS PENTOSUS LPS01 DSM 21980, L. RHAMNOSUS LR06 DSM 21981 AND/OR L.DELBRUECKII SUBSP. DELBRUECKII LDD01 (MB386) DSMZ 20074 DSM 22106  FOR USE IN THE TREATMENT OF A SUBJECT WHO IS TAKING A PROTON PUMP INHIBITOR TO REDUCE GASTRIC HYPERACIDITY",NA,2025-07-16,2025,2025-07-16,2025,2012-09-10,2012,2032-09-10,2032,2011-09-09,2011,Grant,Active,B1,EP,MOGNA GIOVANNI,Probiotical SpA,Probiotical SpA,grid.509847.7,Novara,NA,Italy,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-3542807-B1,31 Biological Sciences; 3107 Microbiology; 32 Biomedical and Clinical Sciences,Digestive Diseases,NA,6.1 Pharmaceuticals,NA,Clinical Medicine and Science,Stomach Cancer,NA,A61P1/00; A61K35/745; A23L33/135; A61K35/744; A61K35/74; A61K31/198; A61K35/741,A61K45/06; A61K35/741; Y02A50/30; A61K35/747; A61K31/198; A61P31/04; A61K38/47; A61P1/00; A61K35/74; A61K35/745; A61K35/744; A23L33/40; A23L33/135,EP-3542807-B1,out,NA,NA,NA,NA,NA
60,US-20250073316-A1,US18954426,45922733,FUNCTIONAL FOODS COMPRISING DIAMINE OXIDASE AND USES THEREOF,"The present invention relates to functional foods comprising DAO and their use for the prevention or treatment of diseases or pathological conditions associated with high levels of histamine in blood, in particular for the prevention or treatment of migraine, chronic fatigue, fibromyalgia, spondylitis and pain caused by muscle contractures.",NA,NA,2025-03-06,2025,2024-11-20,2024,NA,NA,2011-03-18,2011,Application,Pending,A1,US,DUELO RIU CARLOS; DUELO RIU JUAN JOSÉ,Dr Healthcare Espana SL,Dr Healthcare Espana SL,grid.760053.7,NA,NA,Spain,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250073316-A1,"30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences; 42 Health Sciences",Brain Disorders; Chronic Pain; Fibromyalgia; Headaches; Migraines; Neurosciences; Pain Research; Prevention,Musculoskeletal,NA,NA,Clinical Medicine and Science,NA,NA,A61K9/16; A23C9/12; A61K9/00; A23L33/115; A23L33/17; A23L2/52; A23L11/65; A23L33/18; A23L2/02; A23C11/10; A61K38/44,A61P21/02; A23C9/1213; A61P43/00; A23C9/13; A23L2/52; C12Y104/03006; A61K9/0095; A23C2210/40; A61K9/1623; A61P25/06; C12N9/00; A23C11/103; A61K9/0056; A23L33/18; A23L2/02; A23L33/17; A23V2002/00; C12Y104/03022; A61P25/32; A23L33/115; A23L11/65; C12N9/0004; A61K38/44,US-20250073316-A1,out,NA,NA,NA,NA,NA
60,US-20250073315-A1,US18954396,45922733,FUNCTIONAL FOODS COMPRISING DIAMINE OXIDASE AND USES THEREOF,"The present invention relates to functional foods comprising DAO and their use for the prevention or treatment of diseases or pathological conditions associated with high levels of histamine in blood, in particular for the prevention or treatment of migraine, chronic fatigue, fibromyalgia, spondylitis and pain caused by muscle contractures.",NA,NA,2025-03-06,2025,2024-11-20,2024,NA,NA,2011-03-18,2011,Application,Pending,A1,US,DUELO RIU CARLOS; DUELO RIU JUAN JOSÉ,Dr Healthcare Espana SL,Dr Healthcare Espana SL,grid.760053.7,NA,NA,Spain,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250073315-A1,"30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences; 42 Health Sciences",Brain Disorders; Chronic Pain; Fibromyalgia; Headaches; Migraines; Neurosciences; Pain Research; Prevention,Musculoskeletal,NA,NA,Clinical Medicine and Science,NA,NA,A61K9/16; A23C9/12; A61K9/00; A23L33/115; A23L33/17; A23L2/52; A23L11/65; A23L33/18; A23L2/02; A23C11/10; A61K38/44,A61P21/02; A23C9/1213; A61P43/00; A23C9/13; A23L2/52; C12Y104/03006; A61K9/0095; A23C2210/40; A61K9/1623; A61P25/06; C12N9/00; A23C11/103; A61K9/0056; A23L33/18; A23L2/02; A23L33/17; A23V2002/00; C12Y104/03022; A61P25/32; A23L33/115; A23L11/65; C12N9/0004; A61K38/44,US-20250073315-A1,out,NA,NA,NA,NA,NA
60,US-12194077-B2,US17581031,45922733,Functional foods comprising diamine oxidase and uses thereof,"The present invention relates to functional foods comprising DAO and their use for the prevention or treatment of diseases or pathological conditions associated with high levels of histamine in blood, in particular for the prevention or treatment of migraine, chronic fatigue, fibromyalgia, spondylitis and pain caused by muscle contractures.",2025-01-14,2025,2025-01-14,2025,2022-01-21,2022,2033-05-04,2033,2011-03-18,2011,Grant,Active,B2,US,DUELO RIU CARLOS; DUELO RIU JUAN JOSÉ,Dr Healthcare Espana SL,Dr Healthcare Espana SL,grid.760053.7,NA,NA,Spain,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-12194077-B2,"30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences; 42 Health Sciences",Brain Disorders; Chronic Pain; Fibromyalgia; Headaches; Migraines; Neurosciences; Pain Research; Prevention,Musculoskeletal,NA,NA,Clinical Medicine and Science,NA,NA,A23L33/18; A23L33/115; A61K9/16; A61K38/44; A23L2/02; A23C11/10; A23C9/12; A23L2/52; A23L11/65; A23L33/17; A61K9/00; A61P25/28,A23V2250/1882; A23V2250/718; A23V2250/51084; A23V2002/00; A23L33/115; A61K9/1623; C12N9/00; A23L33/17; A23C11/103; C12Y104/03006; A61K9/0095; A23V2250/161; A23V2250/032; A61K38/44; A23L11/65; C12N9/0004; A23L2/02; A23L33/18; A23C9/1213; A23V2250/6418; A23V2250/51086; A61K9/0056; C12Y104/03022; A23V2200/322; A61P25/32; A23C2210/40; A23V2200/3204; A23V2200/31; A23C9/13; A61P25/06; A61P43/00; A61P21/02; A23L2/52,US-12194077-B2,out,NA,NA,NA,NA,NA
17,ES-2742221-T5,ES12177364,46516628,PROCESS FOR MANUFACTURING AN AQUEOUS TRANSPARENT OIL-IN-WATER EMULSION COMPRISING A CAROTENOID AND EMULSION PRODUCED,NA,2025-01-27,2025,2025-01-27,2025,2012-07-20,2012,2032-07-20,2032,2012-07-20,2012,Grant,Active,T5,ES,HELGASON THRANDUR; KÖPSEL CHRISTIAN; SAMBALE CLEMENS; HABICH ANDREAS; HASSE ANDREAS,BASF SE,BASF SE,grid.3319.8,Ludwigshafen am Rhein,NA,Germany,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/ES-2742221-T5,40 Engineering; 40 Engineering; 4014 Manufacturing Engineering,NA,NA,NA,NA,NA,NA,NA,A23L33/105; A23L5/44; A61K31/232; A61K47/22; A23L29/10; A61K47/26; A61K31/07; A23K20/179; A61K9/107; A61K47/36; A61K31/035; A61K31/11; A61K47/14,A23L29/10; A23K20/179; A61K31/07; A61K47/26; A61K47/22; A23L33/105; A61K9/107; A23L5/44; A61K31/232; A61K31/11; A61K47/14; A61K47/36; A61K31/035; A23V2002/00,ES-2742221-T5,out,NA,NA,NA,NA,NA
27,US-12426613-B2,US18906993,47601708,Methods and devices for heating or cooling viscous materials,"Methods and devices heat or cool viscous materials, such as meat emulsions useful for producing food and other products. The devices have a heat exchanger including a first plate, a second plate attached to the first plate, and a first spacer and a second spacer arranged between the first plate and the second plate. The first plate, the second plate, the first spacer, and the second spacer define at least one temperature controlled passage for a product to pass through the heat exchanger.",2025-09-30,2025,2025-09-30,2025,2024-10-04,2024,2032-06-29,2032,2011-07-28,2011,Grant,Active,B2,US,CULLY KEVIN J; BRINKMANN ANDREW JOSEPH; NASH RONALD LEE; SHORT WILLIAM D; LORRAINE TRENT C; HANKINS JERRY J,Societe des Produits Nestle SA,Societe des Produits Nestle SA,grid.796691.6,Vevey,NA,Switzerland,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-12426613-B2,37 Earth Sciences; 3706 Geophysics; 40 Engineering,NA,NA,NA,NA,NA,NA,NA,A23K50/40; F28D9/00; A23B4/005; A22C7/00; F28F3/08; A23L13/00; A22C11/00; A23B4/06; F28F9/02; A23L13/50; A23L17/00; F28D21/00; A23L13/60,F28F2240/00; A23L13/67; A23V2002/00; A23L13/60; F28D9/0093; A22C11/00; A23L13/52; F28D2021/0098; A23L5/10; A23B4/005; F28F2275/205; A22C7/00; F28D1/0366; A23L17/70; F28D2021/0042; F28F3/083; A23B4/06; F28D9/0062; F28F9/026; A23K50/40; A23L5/13; F28D9/0031; F28D9/0081,US-12426613-B2,out,NA,NA,NA,NA,NA
27,US-20250024867-A1,US18906993,47601708,METHODS AND DEVICES FOR HEATING OR COOLING VISCOUS MATERIALS,"Methods and devices heat or cool viscous materials, such as meat emulsions useful for producing food and other products. The devices have a heat exchanger including a first plate, a second plate attached to the first plate, and a first spacer and a second spacer arranged between the first plate and the second plate. The first plate, the second plate, the first spacer, and the second spacer define at least one temperature controlled passage for a product to pass through the heat exchanger.",NA,NA,2025-01-23,2025,2024-10-04,2024,NA,NA,2011-07-28,2011,Application,Granted,A1,US,CULLY KEVIN J; BRINKMANN ANDREW JOSEPH; NASH RONALD LEE; SHORT WILLIAM D; LORRAINE TRENT C; HANKINS JERRY J,Societe des Produits Nestle SA,Societe des Produits Nestle SA,grid.796691.6,Vevey,NA,Switzerland,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-20250024867-A1,37 Earth Sciences; 3706 Geophysics; 40 Engineering,NA,NA,NA,NA,NA,NA,NA,A23L13/50; F28F9/02; A22C7/00; A23B4/005; F28D21/00; A23L17/00; A22C11/00; A23B4/06; A23L13/60; A23K50/40; F28F3/08; F28D9/00; A23L13/00,F28D9/0031; F28F3/083; F28F9/026; A23B4/005; F28D9/0081; F28D9/0062; A23L13/52; F28D2021/0098; A23L13/60; F28F2275/205; F28F2240/00; A23B4/06; A23L5/13; A22C11/00; F28D9/0093; A23K50/40; F28D1/0366; A23L5/10; A22C7/00; F28D2021/0042; A23V2002/00; A23L13/67; A23L17/70,US-20250024867-A1,out,NA,NA,NA,NA,NA
