,family_id,id,title,abstract,application_number,cpc,filing_date,filing_status,jurisdiction,original_assignees,priority_year,publication_date,publication_year,scope,pillar,research_category,endproduct,ingredient,subpillar
0,38969498.0,US-11540543-B2,Sweetened consumables comprising mogroside IV as sweetness enhancer and method of enhancing sweetness of consumables,"Disclosed are sweetened consumables and methods of forming said sweetened consumables that comprise certain sweeteners and at least one sweetness enhancer in a concentration near its sweetness detection threshold. The sweeteners include sucrose, fructose, glucose, high fructose corn syrup, corn syrup, xylose, arabinose, rhamnose, erythritol, xylitol, mannitol, sorbitol, inositol, acesulfame potassium, aspartame, neotame, sucralose, saccharine, or combinations thereof. The sweetness enhancer is selected from naringin dihydrochalcone, mogroside V, swingle extract, rubusoside, rubus extract, rebaudioside, and stevioside.",US17036785,"['A23L29/37', 'A23L29/30', 'A23L33/105', 'A23L21/00', 'A23L27/33', 'A23L27/36', 'A23V2250/24', 'A23V2002/00', 'A23V2200/16', 'A23L7/00', 'A23V2250/21', 'A23L27/30', 'A23L5/00', 'A23L27/34', 'A23L2/60']",2020-09-29,Grant,US,"[{'city_name': 'Vernier', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.480186.3', 'linkout': ['https://www.givaudan.com/'], 'name': 'Givaudan SA', 'types': ['Company']}]",2006.0,2023-01-03,2023,out,,,,,
1,38969498.0,US-20210015134-A1,CONSUMABLES,"Disclosed are sweetened consumables and methods of forming said sweetened consumables that comprise certain sweeteners and at least one sweetness enhancer in a concentration near its sweetness detection threshold. The sweeteners include sucrose, fructose, glucose, high fructose corn syrup, corn syrup, xylose, arabinose, rhamnose, erythritol, xylitol, mannitol, sorbitol, inositol, acesulfame potassium, aspartame, neotame, sucralose, saccharine, or combinations thereof. The sweetness enhancer is selected from naringin dihydrochalcone, mogroside V, swingle extract, rubusoside, rubus extract, rebaudioside, and stevioside.",US17036785,"['A23L27/30', 'A23L2/60', 'A23V2002/00', 'A23L27/33', 'A23L29/37', 'A23L7/00', 'A23L27/36', 'A23L5/00', 'A23L29/30', 'A23L27/34', 'A23L21/00', 'A23L33/105']",2020-09-29,Application,US,"[{'city_name': 'Vernier', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.480186.3', 'linkout': ['https://www.givaudan.com/'], 'name': 'Givaudan SA', 'types': ['Company']}]",2006.0,2021-01-21,2021,out,,,,,
2,42829610.0,US-20170298457-A1,LACTIC BACTERIUM WITH MODIFIED GALACTOKINASE EXPRESSION FOR TEXTURIZING FOOD PRODUCTS BY OVEREXPRESSION OF EXOPOLYSACCHARIDE,"The present invention relates to a bacterial cell with texturizing property, starter cultures comprising the cell, and diary products fermented with the starter culture.",US15360298,"['A23C19/0323', 'C12N9/1205', 'A23C2220/206', 'A23V2400/249', 'C12R2001/46', 'A23C9/1238', 'C12Y207/01006', 'A23L33/135', 'C12N1/205', 'A23C9/12', 'A23L29/269', 'C12R1/46', 'A23Y2240/75', 'A23V2002/00', 'C12N9/12']",2016-11-23,Application,US,"[{'city_name': 'Horsholm', 'country_code': 'DK', 'country_name': 'Denmark', 'id': 'grid.424026.6', 'linkout': ['http://www.chr-hansen.com/#'], 'name': 'Chr Hansen AS', 'types': ['Company']}]",2009.0,2017-10-19,2017,in,PB,Strain development,Yoghurt and fermented dairy,,
3,42829610.0,EP-2473058-A1,LACTIC BACTERIUM WITH MODIFIED GALACTOKINASE EXPRESSION FOR TEXTURIZING FOOD PRODUCTS BY OVEREXPRESSION OF EXOPOLYSACCHARIDE,"The present invention relates to a bacterial cell with texturizing property, starter cultures comprising the cell, and dairy products fermented with the starter culture.",EP10751643A,"['A23C19/0323', 'C12R2001/46', 'C12Y207/01006', 'A23L33/135', 'A23C9/12', 'C12N9/12', 'A23C2220/206', 'A23V2002/00', 'A23L29/269', 'C12N1/205', 'A23V2400/249', 'C12N9/1205', 'A23C9/1238']",2010-09-01,Application,EP,"[{'city_name': 'Horsholm', 'country_code': 'DK', 'country_name': 'Denmark', 'id': 'grid.424026.6', 'linkout': ['http://www.chr-hansen.com/#'], 'name': 'Chr Hansen AS', 'types': ['Company']}]",2009.0,2012-07-11,2012,in,PB,Strain development,Yoghurt and fermented dairy,,
4,44510082.0,EP-3542638-A1,NUTRITIONAL COMPOSITION,"Non-medical use of at least two components selected from the group of: (i) nucleoside equivalents, (ii) n-3 polyunsaturated fatty acids selected from the group of DHA, DPA and EPA, (iii) vitamins B, (iv) phospholipids, (v) antioxidants and (vi) cholines - with the proviso that at least one (i) nucleoside or at least one (iii) vitamin B is present - for increasing or maintaining the body weight, for improving the ability to perform an activity of daily living of a mammal, for maintaining the ability to perform an activity of daily living of a mammal, or for reducing a deterioration in the ability to perform an activity of daily living of a mammal.",EP19173302.1,"['A23L33/13', 'A61K33/04', 'A23L33/40', 'A61K31/14', 'A23L33/15', 'A61K31/20', 'A61K31/683', 'A23V2002/00', 'A61K31/675', 'A61K31/355', 'A61K31/714', 'A61K31/688', 'A61K45/06', 'A61P25/28', 'A61K31/685', 'A61K31/44', 'C07H19/06', 'A61K31/4985', 'A61K31/4415', 'A23L33/12', 'A23L33/14', 'A61K31/7056', 'A61K31/519', 'A61K31/661', 'A61K31/7068', 'A61K31/7072', 'A61K31/70', 'A61K31/202', 'C07H19/052', 'A61K31/375', 'A61K31/715']",2011-08-11,Application,EP,"[{'city_name': 'HM ZOETERMEER', 'country_code': 'NL', 'country_name': 'Netherlands', 'id': 'grid.573874.a', 'name': 'Nutricia NV', 'types': ['Company']}]",2010.0,2019-09-25,2019,out,,,,,
5,44510082.0,US-9585900-B2,Non-medical increase or maintenance of body weight of a mammal,"Non-medical use of at least two components selected from the group of: (i) nucleoside equivalents, (ii) n-3 polyunsaturated fatty acids selected from the group of DHA, DPA and EPA, (iii) vitamins B, (iv) phospholipids, (v) antioxidants and (vi) cholines&#8212;with the proviso that at least one (i) nucleoside or at least one (iii) vitamin B is present&#8212;for increasing or maintaining the body weight, for improving the ability to perform an activity of daily living of a mammal, for maintaining the ability to perform an activity of daily living of a mammal, or for reducing a deterioration in the ability to perform an activity of daily living of a mammal.",US14755154,"['A23V2250/7058', 'A61K31/375', 'A61K31/661', 'A23V2250/185', 'A23V2250/1852', 'A23V2250/308', 'A61K31/7056', 'A23V2250/1626', 'A23V2002/00', 'A23L33/40', 'A23V2250/304', 'A61K2300/00', 'A23V2250/1846', 'A23L33/12', 'A61K31/355', 'A23V2250/187', 'A61K31/715', 'A23V2250/1868', 'A61P25/28', 'A61K31/7068', 'A61K31/202', 'A61K31/44', 'A23V2250/7052', 'A61K31/70', 'A61K31/7072', 'A23V2250/1844', 'A23V2250/1848', 'A23V2250/706', 'A61K31/683', 'A61K31/4985', 'A23V2250/1882', 'A23V2250/704', 'C07H19/06', 'C07H19/052', 'A61K45/06', 'A23V2200/316', 'A61K31/685', 'A61K31/4415', 'A23V2250/5424', 'A61K31/20', 'A23L33/14', 'A23V2250/156', 'A61K31/688', 'A23L33/15', 'A23L33/13', 'A61K33/04', 'A61K31/714', 'A61K31/519', 'A61K31/675', 'A61K31/14', 'A23V2200/322']",2015-06-30,Grant,US,"[{'city_name': 'HM ZOETERMEER', 'country_code': 'NL', 'country_name': 'Netherlands', 'id': 'grid.573874.a', 'name': 'Nutricia NV', 'types': ['Company']}]",2010.0,2017-03-07,2017,out,,,,,
6,44899093.0,EP-3542807-A1,COMPOSITION COMPRISING N-ACETYLCYSTEINE AND PROBIOTIC BACTERIA CAPABLE OF RESTORING THE STOMACH'S OWN BARRIER EFFECT WHICH IS LOST DURING TREATMENT OF GASTRIC HYPERACIDITY WITH PROTON PUMP INHIBITORS,"The present invention refers to a composition comprising N-acetylcysteine and/or lysozyme; or N-acetylcysteine and microencapsulated gastroprotected lysozyme with probiotic bacteria for use in the pharmacological treatment of gastric hyperacidity. Said composition is capable of restoring the stomach's own barrier effect, which is lost during the pharmacological treatment of gastric hyperacidity, and of minimising the secondary effects due to said pharmacological treatment.",EP19170847.8,"['A61P31/04', 'A61K35/74', 'Y02A50/30', 'A61K35/741', 'A61K35/745', 'A61K31/198', 'A61P1/00', 'A61K35/747', 'A61K45/06', 'A61K35/744', 'A23L33/40', 'A61K38/47', 'A23L33/135']",2012-09-10,Application,EP,"[{'city_name': 'Novara', 'country_code': 'IT', 'country_name': 'Italy', 'id': 'grid.509847.7', 'latitude': 45.426254, 'linkout': ['https://www.probiotical.com/'], 'longitude': 8.578283, 'name': 'Probiotical SpA', 'types': ['Company']}]",2011.0,2019-09-25,2019,out,,,,,
7,44899093.0,US-10028982-B2,Composition comprising N-acetylcysteine and/or microencapsulated gastroprotected lysozyme in association with probiotic bacteria capable of restoring the stomach's own barrier effect which is lost during the pharmacological treatment of gastric hyperacidity,"The present disclosure refers to a composition with N-acetylcysteine and/or lysozyme; or N-acetylcysteine and microencapsulated gastroprotected lysozyme with pro biotic bacteria for use in the pharmacological treatment of gastric hyperacidity. Said composition is capable of restoring the stomach's own barrier effect, which is lost during the pharmacological treatment of gastric hyperacidity, and of minimizing the secondary effects due to said pharmacological treatment.",US14344021,"['A61K38/47', 'A23L33/135', 'A61K35/745', 'A61K35/744', 'Y02A50/30', 'A61K35/741', 'A61K45/06', 'A61P31/04', 'A61K35/74', 'A61K31/198', 'A61K35/747', 'A23L33/40', 'A61K2300/00', 'A61P1/00']",2012-09-10,Grant,US,,2011.0,2018-07-24,2018,out,,,,,
8,45922733.0,US-20250073316-A1,FUNCTIONAL FOODS COMPRISING DIAMINE OXIDASE AND USES THEREOF,"The present invention relates to functional foods comprising DAO and their use for the prevention or treatment of diseases or pathological conditions associated with high levels of histamine in blood, in particular for the prevention or treatment of migraine, chronic fatigue, fibromyalgia, spondylitis and pain caused by muscle contractures.",US18954426,"['A61P21/02', 'A23C9/1213', 'A61P43/00', 'A23C9/13', 'A23L2/52', 'C12Y104/03006', 'A61K9/0095', 'A23C2210/40', 'A61K9/1623', 'A61P25/06', 'C12N9/00', 'A23C11/103', 'A61K9/0056', 'A23L33/18', 'A23L2/02', 'A23L33/17', 'A23V2002/00', 'C12Y104/03022', 'A61P25/32', 'A23L33/115', 'A23L11/65', 'C12N9/0004', 'A61K38/44']",2024-11-20,Application,US,"[{'country_code': 'ES', 'country_name': 'Spain', 'id': 'grid.760053.7', 'name': 'Dr Healthcare Espana SL', 'types': ['Other']}]",2011.0,2025-03-06,2025,out,,,,,
9,45922733.0,US-12194077-B2,Functional foods comprising diamine oxidase and uses thereof,"The present invention relates to functional foods comprising DAO and their use for the prevention or treatment of diseases or pathological conditions associated with high levels of histamine in blood, in particular for the prevention or treatment of migraine, chronic fatigue, fibromyalgia, spondylitis and pain caused by muscle contractures.",US17581031,"['A23V2250/1882', 'A23V2250/718', 'A23V2250/51084', 'A23V2002/00', 'A23L33/115', 'A61K9/1623', 'C12N9/00', 'A23L33/17', 'A23C11/103', 'C12Y104/03006', 'A61K9/0095', 'A23V2250/161', 'A23V2250/032', 'A61K38/44', 'A23L11/65', 'C12N9/0004', 'A23L2/02', 'A23L33/18', 'A23C9/1213', 'A23V2250/6418', 'A23V2250/51086', 'A61K9/0056', 'C12Y104/03022', 'A23V2200/322', 'A61P25/32', 'A23C2210/40', 'A23V2200/3204', 'A23V2200/31', 'A23C9/13', 'A61P25/06', 'A61P43/00', 'A61P21/02', 'A23L2/52']",2022-01-21,Grant,US,"[{'country_code': 'ES', 'country_name': 'Spain', 'id': 'grid.760053.7', 'name': 'Dr Healthcare Espana SL', 'types': ['Other']}]",2011.0,2025-01-14,2025,out,,,,,
