match_key,gt_row_id,lrd_row_id,GT index,LRD index,Similarity,GT Title,LRD Title,GT Dimensions ID,LRD Identification code,GT Project start date,LRD Project start date,is_true_match
1729__962,1729,962,234,962,100.0,"Ecological critique and civic experiments in plant-based
  agricultural alternatives (CIVEX)",Ecological critique and civic experiments in plant-based agricultural alternatives (CIVEX),,3164-00027A,2024-02-01,2024-02-01,True
1729__695,1729,695,234,695,100.0,"Ecological critique and civic experiments in plant-based
  agricultural alternatives (CIVEX)",Ecological critique and civic experiments in plant-based agricultural alternatives (CIVEX),,,2024-02-01,2024-02-01,True
1735__700,1735,700,237,700,100.0,"MadeSweetly - precision fermentation process for sweet protein
  production",MadeSweetly - precision fermentation process for sweet protein production,,,2024-05-31,2024-05-31,True
1734__822,1734,822,236,822,100.0,"Socio-ecological research to understand the potential impacts of
  alternative protein sources in the UK and Europe",Socio-ecological research to understand the potential impacts of alternative protein sources in the UK and Europe,,grant.14682509,2024-09-30,2024-09-30,True
1730__696,1730,696,235,696,100.0,"Revealing factors determining quality and functionality of plant
  proteins fractionated by sustainable dry processing for human consumption",Revealing factors determining quality and functionality of plant proteins fractionated by sustainable dry processing for human consumption,,,2024-09-11,2024-09-11,True
1730__963,1730,963,235,963,100.0,"Revealing factors determining quality and functionality of plant
  proteins fractionated by sustainable dry processing for human consumption",Revealing factors determining quality and functionality of plant proteins fractionated by sustainable dry processing for human consumption,,3164-00216A,2024-09-11,2024-09-11,True
1736__701,1736,701,238,701,100.0,"Sustainable protein production for therapeutic and
  biotechnological applications",Sustainable protein production for therapeutic and biotechnological applications,,,2024-09-30,2024-09-30,True
1739__704,1739,704,241,704,100.0,"successful protein shift in schools–Prototyping a norm change
  tool kit towards alternative proteins",successful protein shift in schools–Prototyping a norm change tool kit towards alternative proteins,,,2024-06-03,2024-06-03,True
1738__703,1738,703,240,703,100.0,"How to make consumers choose plant based food in the store - An
  economic experiment",How to make consumers choose plant based food in the store - An economic experiment,,,2025-01-15,2025-01-15,True
1737__702,1737,702,239,702,100.0,"LEGU4FOOD - Encouraging the cultivation of minor legumes in
  Switzerland through the development of innovative plant-based foods",LEGU4FOOD - Encouraging the cultivation of minor legumes in Switzerland through the development of innovative plant-based foods,,,2024-10-01,2024-10-01,True
