,id,title,abstract,application_number,assignee_cities,assignee_countries,assignee_names,cpc,family_count,family_id,filing_status,inventor_names,jurisdiction,kind,legal_status,original_assignee_names,priority_year,publication_year,times_cited,year,current_assignee_names,publications,researchers,date_dimensions,truncated,proba_scope,pred_scope,threshold_scope,proba_pillar,pred_pillar,pred_combined,date_ML,scope_LLM,confidence_LLM,pillar_LLM,plant_based_LLM,fermentation_LLM,cultivated_LLM,cross_cutting_LLM,status_LLM,stop_reason_LLM,date_LLM,assignee_names_cleaned,scope_curated,pillar_curated,date_review
17,ZA-202209984-B,A STABLE FOOD-GRADE MICROCAPSULE FOR THE DELIVERY OF UNSTABLE AND FOOD-INCOMPATIBLE ACTIVE INGREDIENTS TO FOOD PRODUCTS,"Stable food-grade microcapsule designed to deliver a composition comprising at least one active substance to a food product; use of such microcapsules in the food industry; food products, food supplements, food articles and raw materials comprising such microcapsules are provided.",ZA2022/09984,,"[{""id"": ""IL"", ""name"": ""Israel""}]","[""NUVERSYS LTD""]","[""A23V2250/21"", ""A23L33/115"", ""A23V2250/548"", ""A23V2250/1874"", ""A23P10/35"", ""A23P10/30"", ""A23V2250/51088"", ""A23L29/256"", ""A23V2200/262"", ""A61K9/50"", ""A23V2200/264"", ""A23V2250/2042"", ""A23L29/10"", ""A23G3/40"", ""A23V2002/00"", ""A23L33/15"", ""A23L33/12"", ""B01J13/22"", ""B01J13/12"", ""A23V2250/1868"", ""A23L33/16"", ""A23V2250/194"", ""A23L29/262"", ""A23V2250/5072"", ""A23V2200/02"", ""A23V2200/224"", ""A23L17/20"", ""A23L27/00"", ""A23L29/238"", ""C09B67/0097"", ""A23L5/42"", ""A23V2250/032"", ""A23V2200/15"", ""A23L29/231"", ""A23V2250/187"", ""A23L29/04"", ""A23L29/25"", ""A23L2/52"", ""A23L33/185"", ""A23L29/27"", ""A23L29/212"", ""A23L33/105"", ""B01J13/08""]",14,77614042,N/A,"[""EMMA KVITNITSKY"", ""RAM SNIR"", ""SANAA MUSA"", ""IRENA PALUY"", ""OLGA PRIVALOVA"", ""INNA LITINETSKY"", ""YEHOYADA BEERI""]",ZA,B,N/A,['NUVERSYS LTD'],2020,2025,0,2022,,,,260708,FALSE,0.5033522666,1,0.283,0.5649268764,PB,in,260708,out,3,NA,FALSE,FALSE,FALSE,FALSE,ok,tool_use,260708,"['[""NUVERSYS LTD""]']",out,NA,260708
242,WO-2025132527-A1,BIOREACTOR SYSTEM,"The present invention refers to a reactor system comprising at least two reactors, a reactor batch within the reactor system, and a method of culturing organisms simultaneously in the reactor system. The gasfilled volume of at least one reactor is fluidly linked to the gas-filled volume of at least another reactor.",EP2024/087027,,"[{""id"": ""DE"", ""name"": ""Germany""}]","[""Hammer GmbH""]","[""C12M21/02"", ""C12M23/58"", ""C12M43/00""]",2,89430206,Application,"[""HAMMER WILLY""]",WO,A1,Pending,['Hammer GmbH'],2023,2025,0,2024,['Hammer GmbH'],"[{'doi': '10.1002/bit.22706', 'id': 'pub.1020144867', 'pmid': '20198653'}
 {'doi': '10.1186/s40694-021-00128-1', 'id': 'pub.1144041870', 'pmcid': 'PMC8691024', 'pmid': '34930476'}]",,260708,FALSE,0.8918112775,1,0.283,0.5020865199,CC,in,260708,out,3,NA,FALSE,FALSE,FALSE,FALSE,ok,tool_use,260708,"['[""HAMMER GMBH""]']",in,CC,260708
120,WO-2025222563-A1,"JUVENILE SERIOLA DUMERILI ARTIFICIAL COMPOUND FEED FOR REPLACING FROZEN FISHES, AND USE THEREOF","The present invention relates to the field of aquatic animal feed, and provides a juvenile Seriola dumerili artificial compound feed for replacing frozen fishes, and a use thereof. In the present invention, super steam-dried fish meal, chicken meal and whole shrimp meal are used as high-quality animal protein sources, dehulled soybean meal and vital wheat gluten are used as high-quality plant protein sources, fish oil and soybean oil in a relatively high proportion are adopted, and high gluten flour, fermented soybean meal, monocalcium phosphate, vitamin blend, mineral blend, phospholipid, choline, L-ascorbate-2-monophosphate, taurine, lysine and methionine are added. The juvenile Seriola dumerili artificial compound feed for replacing frozen fishes of the present invention involves rich formula, is rich in protein, fat, amino acid, various vitamins and other key nutrient substances required by the development of juvenile Seriola dumerili, not only can provide sufficient nutrition for juvenile Seriola dumerili and promote the healthy growth of juvenile Seriola dumerili, but also improve the nutritional value and flavor of juvenile Seriola dumerili, and has the advantages of low production cost, high feed utilization rate, easy storage, convenient feeding and the like.",CN2024/093139,"[{""id"": ""1784990"", ""name"": ""Zhanjiang""}]","[{""id"": ""CN"", ""name"": ""China""}]","[""Guangdong Ocean University""]","[""A23K10/30"", ""A23K10/12"", ""Y02A40/818"", ""A01K61/10"", ""A23K20/147"", ""A23K10/37"", ""A23K50/80"", ""A23K10/20"", ""A23K10/22"", ""A23K20/105"", ""A23K20/174"", ""A23K20/30"", ""A23K20/26"", ""A23K20/158""]",2,91350668,Application,"[""ZHU CHUNHUA"", ""CHEN PEIPEI"", ""HUANG YANG"", ""LI JIN"", ""YANG TONGLIN"", ""YANG JIAHUI"", ""LI GUANGLI""]",WO,A1,Pending,['Guangdong Ocean University'],2024,2025,0,2024,['Guangdong Ocean University'],"[{'doi': '10.1111/anu.13344', 'id': 'pub.1140964564'}]",,260708,FALSE,0.2820759888,0,0.283,0.5650833069,F,in,260708,,,,,,,,,,,"['[""GUANGDONG OCEAN UNIVERSITY""]']",out,NA,260708
38,WO-2025254925-A1,PROCESS FOR INSOLUBLE FIBER COMPOSITION,The present invention relates to a process for preparing for preparing an insoluble fiber composition having a reduced amount of sulphur dioxide. The present inventors have demonstrated that the sulphur dioxide content can be eliminated up to 100% without adversely affecting the nutritional value content of the insoluble fiber composition.,US2025/031439,"[{""id"": ""5052132"", ""name"": ""Wayzata""}]","[{""id"": ""US"", ""name"": ""United States""}]","[""Cargill Inc""]","[""A23L33/21"", ""A23L5/27"", ""A23L33/24""]",1,91376108,Application,"[""AKSOY AYLIN"", ""B\u00d6L\u00dcK ESRA""]",WO,A1,Pending,['Cargill Inc'],2024,2025,0,2025,['Cargill Inc'],"[{'doi': '10.1016/j.aquaculture.2016.07.005', 'id': 'pub.1030194420'}]",,260708,FALSE,0.2496873248,0,0.283,0.4978993228,PB,in,260708,,,,,,,,,,,"['[""CARGILL INC""]']",out,NA,260708
196,WO-2025233614-A1,REACTOR APPARATUS,"There is provided a reactor apparatus (30) comprising: a reactor vessel (32); a media conditioning circuit (34) in fluid communication with the reactor vessel (32) so as to permit circulation of reaction media between the media conditioning circuit (34) and the reactor vessel (32), wherein the media conditioning circuit (34) includes at least one media conditioning module (46, 50, 52, 54, 56) configured to, in use, condition the reaction media within the media conditioning circuit (34); and a fluid flow controller (36, 48) configured to, in use, selectively reverse a flow direction of the reaction media through the reactor vessel (32).",GB2025/050979,,"[{""id"": ""GB"", ""name"": ""United Kingdom""}]","[""Sterling Bio Machines Ltd""]","[""C12M29/12"", ""C12M47/02"", ""C12M41/00"", ""C12M29/26"", ""C12M1/34"", ""C12M29/10"", ""C12M1/12"", ""C12M3/06""]",3,91465682,Application,"[""AHUJA AKSHAYA""]",WO,A1,Pending,['Sterling Bio Machines Ltd'],2024,2025,0,2025,['Sterling Bio Machines Ltd'],,,260708,FALSE,0.7477963618,1,0.283,0.6001243526,CC,in,260708,out,3,NA,FALSE,FALSE,FALSE,FALSE,ok,tool_use,260708,"['[""STERLING BIO MACHINES LTD""]']",out,NA,260708
194,WO-2025238217-A1,RNA CONSTRUCTS WITH IMMUNE BLOCKING AGENTS,The invention relates to RNA constructs encoding a sequence of interest and a novel innate immune blocking agent. The innate immune blocking agents described herein enhance the expression of the sequence of interest by the cell and find utility in methods for the preparation of edible meat products and methods of cell culture.,EP2025/063555,,"[{""id"": ""GB"", ""name"": ""United Kingdom""}]","[""Uncommon Bio Ltd""]","[""C12N2510/00"", ""C12N5/0696"", ""C12N2830/60"", ""C12N2506/45"", ""A61P37/02"", ""C12N5/0658"", ""C12N15/85"", ""C07K14/005"", ""C12N2830/34"", ""C12N2506/1307"", ""A61K39/00"", ""C12N2840/203""]",2,92932100,Application,"[""SIDAWAY ADAM"", ""COCKBURN GLENN"", ""CASTILLA-LLORENTE VIRGINIA"", ""FARAM RUTH""]",WO,A1,Pending,['Uncommon Bio Ltd'],2024,2025,0,2025,['Uncommon Bio Ltd'],"[{'doi': '10.1016/j.virusres.2016.11.023', 'id': 'pub.1040604448', 'pmcid': 'PMC5325784', 'pmid': '27890631'}
 {'doi': '10.1007/s00705-021-04971-w', 'id': 'pub.1135188523', 'pmid': '33550505'}
 {'doi': '10.1111/j.1348-0421.2001.tb01322.x', 'id': 'pub.1039211857', 'pmid': '11838900'}]",,260708,FALSE,0.9013202355,1,0.283,0.8924894899,CM,in,260708,out,4,NA,FALSE,FALSE,FALSE,FALSE,ok,tool_use,260708,"['[""UNCOMMON BIO LTD""]']",in,CM,260708
199,WO-2025215354-A1,METHOD OF CULTURING AN ANIMAL CELL,"The invention relates to methods for culturing cells, and cultured animal cells for use in described method. Also provided is a modified animal cell and guide RNAs targeting genes to be modified in the modified and cultured cells of the invention.",GB2025/050744,,"[{""id"": ""GB"", ""name"": ""United Kingdom""}]","[""Ivy Farm Technologies Ltd""]","[""C12N2500/95"", ""C12N2500/92"", ""C12N2500/99"", ""C12N2501/73"", ""C12N2500/90"", ""A23L13/00"", ""C12N5/0658"", ""C12N2511/00"", ""C12N2501/727"", ""C12N2501/405"", ""C12N2510/00"", ""C12N5/0667"", ""C12N2510/04""]",1,95476380,Application,"[""SHELFORD JAMES"", ""DORAN CAITLIN"", ""BREWER AMY ELIZABETH"", ""RIMINGTON ROWAN"", ""HAHN FLORIAN"", ""AGNEW THOMAS""]",WO,A1,Pending,['Ivy Farm Technologies Ltd'],2024,2025,0,2025,['Ivy Farm Technologies Ltd'],"[{'doi': '10.1038/s43016-022-00658-w', 'id': 'pub.1153905798', 'pmid': '37118574'}
 {'doi': '10.1038/nature21059', 'id': 'pub.1023889809', 'pmcid': 'PMC5300952', 'pmid': '28005056'}
 {'doi': '10.1126/science.1225829', 'id': 'pub.1041850060', 'pmcid': 'PMC6286148', 'pmid': '22745249'}]",,260708,FALSE,0.8827038736,1,0.283,0.7915180096,CM,in,260708,out,3,NA,FALSE,FALSE,FALSE,FALSE,ok,tool_use,260708,['Ivy Farm Technologies'],in,CM,260708
82,WO-2025212866-A1,MEAT SUBSTITUTE COMPOSITIONS AND METHODS OF MAKING THE SAME,"Meat substitute compositions and products made from the compositions are disclosed. The meat substitute composition includes a texture improver comprising beta-lactoglobulin; and plant protein. The texture improver may include whey protein enriched in beta-lactoglobulin. A method of making a meat substitute product includes preparing a mixture of water, oil, and a texture improver comprising beta-lactoglobulin; preparing a hydrated plant protein; mixing the mixture and the hydrated plant protein to form a meat substitute composition; and forming the meat substitute composition into a meat substitute product.",US2025/022927,"[{""id"": ""5052132"", ""name"": ""Wayzata""}]","[{""id"": ""US"", ""name"": ""United States""}]","[""Cargill Inc""]","[""A23J3/227"", ""A23J3/08"", ""A23J3/14"", ""A23J3/22"", ""A23J1/205""]",1,95554851,Application,"[""VAMADEVAN VARATHARAJAN"", ""ZAKRIA MUHAMMAD ALI"", ""ZUPFER JOHN""]",WO,A1,Pending,['Cargill Inc'],2024,2025,0,2025,['Cargill Inc'],,,260708,FALSE,0.727799153,1,0.283,0.8338015803,PB,in,260708,out,5,NA,FALSE,FALSE,FALSE,FALSE,ok,tool_use,260708,"['[""CARGILL INC""]']",in,CC,260708
192,WO-2025244972-A1,MICROBIAL SENSING AND PREDICTIVE GROWTH MODELING,"Disclosed are systems and methods for microbial sensing and predictive growth modeling. A system can include one or more processors, coupled with memory, to receive genetic information of a microbe in a production system, the genetic information sequenced from a sample taken from the production system. The one or more processors can execute at least one model trained by machine learning using the genetic information to identify the microbe or determine a characteristic of the microbe. The one or more processors can update operation of the production system using the identity of the microbe or the characteristic of the microbe.",US2025/029941,,"[{""id"": ""US"", ""name"": ""United States""}]","[""H2ok Innovations Inc""]","[""C12Q1/04"", ""G16B40/20"", ""C12M41/48"", ""G16B20/00""]",1,96013150,Application,"[""LU DAVID"", ""MARIITA RICHARD M"", ""SANCHEZ Joseph"", ""HOEFFLIN JENS"", ""LU ANNIE""]",WO,A1,Pending,['H2ok Innovations Inc'],2024,2025,0,2025,['H2ok Innovations Inc'],,,260708,FALSE,0.7677420352,1,0.283,0.553893037,NA,in,260708,out,3,NA,FALSE,FALSE,FALSE,FALSE,ok,tool_use,260708,"['[""H2OK INNOVATIONS INC""]']",out,NA,260708
44,WO-2025250795-A1,A BLEND OF PEA PROTEIN AND BOVINE SERUM ALBUMIN AND A PROCESS FOR PREPARING THE SAME,"The present disclosure relates to a pea protein blend that comprises a pea protein containing material and bovine serum albumin (BSA). The pea protein blend has an improved solubility and/or an improved gelation as compared to the same pea protein containing material. The present disclosure also relates to a food product that comprises a pea protein blend of the present disclosure. A process for preparing a pea protein blend, a process for improving solubility and/or gelation of a pea protein blend are also described herein.",US2025/031427,"[{""id"": ""5052132"", ""name"": ""Wayzata""}]","[{""id"": ""US"", ""name"": ""United States""}]","[""Cargill Inc""]","[""A23L33/185"", ""A23J3/14""]",1,96271609,Application,"[""GAJADEERA CHATHURADA SUGEESHVARIE"", ""NEGRETE-RAYMOND ANA CECILIA"", ""ZAKRIA MUHAMMAD ALI"", ""ZUPFER JOHN""]",WO,A1,Pending,['Cargill Inc'],2024,2025,0,2025,['Cargill Inc'],"[{'doi': '10.3168/jds.2023-23742', 'id': 'pub.1164483707', 'pmid': '37777001'}]",,260708,FALSE,0.9579635921,1,0.283,0.7875819491,PB,in,260708,out,5,NA,FALSE,FALSE,FALSE,FALSE,ok,tool_use,260708,"['[""CARGILL INC""]']",in,PB,260708
