,param_hidden_layer_sizes,param_learning_rate_init,param_alpha,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
0,"(128, 64)",0.00035506214270707734,0.0001329291894316216,0.7812666267266524,0.04010038663771668,0.6998701392395932,0.021993352910145075,0.7373045440656819,0.01517271338770157,0.9450199334453562,0.01432035806986577,0.9194926222135562,0.004715758102826162
1,"(128, 64)",0.00029380279387035364,0.0021830968390524606,0.7739450624358678,0.043273332184205524,0.7059158790852031,0.038010908720922984,0.7368833162619295,0.022988019243663043,0.9420381536028467,0.015763905480019432,0.9208294704371328,0.009124643553494204
2,"(256,)",0.002386418878005608,2.9375384576328295e-05,0.7953348424825505,0.03966703228008731,0.6938893297741866,0.02468936065082815,0.7402475820660761,0.018232920886752563,0.9499879191240266,0.012613302197975984,0.9184015462853946,0.0058006377007259625
3,"(256,)",0.00011527987128232407,0.0001002595690228957,0.798222472599536,0.023684962616260283,0.677036288868047,0.03955023057845462,0.731462625528084,0.01800882089538446,0.9523063490494547,0.008892984615476631,0.9145903547111768,0.00903117566531191
4,"(64, 32)",0.06541210527692734,0.008123245085588688,0.7352175113892025,0.033096475425660556,0.6903614457831325,0.04581939978042037,0.7107289356951453,0.026657596884617007,0.9307782280649732,0.013028609528280097,0.9161084077710073,0.010904624931919451
5,"(64, 32)",0.0003549878832196505,1.0053940194693018e-05,0.7977458392594257,0.039714189335961644,0.6973955703051729,0.05504033222435728,0.7412440516389881,0.01825813127343296,0.94965569503476,0.01718494899348274,0.9195664763213831,0.012238569552452071
6,"(256, 128)",0.0001050023250423136,8.17949947521167e-05,0.8094251430999627,0.034005213015826055,0.7131087223144073,0.024413884782693195,0.7572000928509601,0.007748046581487866,0.9529647567900014,0.011208611162766146,0.9233825135595785,0.005318810597039401
7,"(256,)",0.006847920095574782,1.1727009450102244e-05,0.7925472142151111,0.019881874969349598,0.6687973450688983,0.04929944718052777,0.7239425709178705,0.024578031511146247,0.9513118733045589,0.008593749964769819,0.9125578017914491,0.011561238850729216
8,"(64, 32)",0.08341930294140781,2.621087878265438e-05,0.6409951012628184,0.32141800582258345,0.5049419233821514,0.25559708421013616,0.5640791444196072,0.28329950049320407,0.9652186089420447,0.018793251552780752,0.8800046343948995,0.04867554550783204
9,"(256, 128)",0.0226739865237804,4.9924534169239825e-05,0.7611476933581623,0.03669144174912989,0.6914436187865234,0.03526243309688471,0.7230122610228571,0.0119176740061039,0.9390563737603375,0.01439779427542147,0.917042039871319,0.007558049369789399
