,param_hidden_layer_sizes,param_learning_rate_init,param_alpha,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
0,"(128, 64)",0.00035506214270707734,0.0001329291894316216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
1,"(128, 64)",0.00029380279387035364,0.0021830968390524606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
2,"(256,)",0.002386418878005608,2.9375384576328295e-05,0.7353326073896242,0.06396279077129524,0.6721881538128562,0.045059367912179855,0.7004312922256337,0.04137501949631236,0.9314443236356847,0.02312905629673021,0.9116185195189228,0.010632375751209676
3,"(256,)",0.00011527987128232407,0.0001002595690228957,0.0,0.0,0.0,0.0,0.0,0.0,0.9996688741721854,0.0006622516556291202,0.7836928152914855,0.0004946611352113742
4,"(64, 32)",0.06541210527692734,0.008123245085588688,0.7657430307964679,0.026529429609172785,0.6518288723757305,0.04106448812999456,0.7037883925281907,0.03200673243343808,0.9450149912688215,0.006316632243356306,0.9078243689229806,0.009998808253751617
5,"(64, 32)",0.0003549878832196505,1.0053940194693018e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
6,"(256, 128)",0.0001050023250423136,8.17949947521167e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
7,"(256,)",0.006847920095574782,1.1727009450102244e-05,0.765856686548398,0.04214200380190658,0.640971069908376,0.07416765311092287,0.6950900583235162,0.048389586530957186,0.9453538049268009,0.013350542894014288,0.905594667157415,0.016954498773236612
8,"(64, 32)",0.08341930294140781,2.621087878265438e-05,0.758175098921859,0.060525867273206344,0.6469013779669577,0.07155379253625961,0.6937353798851755,0.040180946218784486,0.9407043150692453,0.021964414350700425,0.9066551581646554,0.016060944846870776
9,"(256, 128)",0.0226739865237804,4.9924534169239825e-05,0.7227641546846155,0.02653188416511179,0.7154750739484886,0.03975443764157784,0.7186129500958212,0.028255544813776436,0.9241518675935992,0.009120189916210069,0.9218152548979213,0.010022540718572006
10,"(64, 32)",0.005987474910461402,3.972110727381908e-05,0.7629590436590437,0.06568283582688192,0.5845682129716471,0.06445862497854991,0.6567067551022016,0.03245215804236528,0.9466739151922507,0.026285801158613474,0.892452492625614,0.013024073454148454
11,"(256,)",0.010988100318524607,1.3783237455007187e-05,0.7423239064579965,0.036706803980244625,0.661388067239016,0.09795514301470766,0.6932943511157045,0.046238571367147506,0.9347385588613225,0.01961513693330663,0.910112935677251,0.02200804683807024
12,"(128,)",0.07025166339242159,0.0002246455168053261,0.7404124052202388,0.052864468817399986,0.678443113772455,0.05874254806845644,0.7053199219058586,0.033350468711281576,0.932767728685491,0.01930647933964424,0.913437659374605,0.014141698896874208
13,"(128,)",0.0014330109455635695,0.00788671412999049,0.7498604386591857,0.04612878016489548,0.599148690570666,0.06603571277155527,0.6644045267180069,0.051827838144198196,0.9446866110946373,0.012753723652053283,0.89544305475408,0.015426870399576704
14,"(128,)",0.01129013355909268,1.116602913398134e-05,0.749236793791424,0.035123338658526605,0.674807012481062,0.06863928759802725,0.7076404486302785,0.041134777820437986,0.9370707170549022,0.013991252252831671,0.9129964499676909,0.016104027852632097
15,"(64, 32)",0.0030586566669785274,0.00020914981329035596,0.7627646374061512,0.05881669538117328,0.6578024673544476,0.04404015192522519,0.7041410976515688,0.03477974837945539,0.9417075769057582,0.021688212429857853,0.9090271483563799,0.009815017725414803
16,"(256, 128)",0.0014899847475658245,1.2681352169084594e-05,0.757357965039106,0.04895024714755124,0.6686891277685593,0.04885905634920274,0.7088284761142066,0.03615038217734645,0.9400541442895897,0.01506103746487839,0.9115273889280736,0.012060187323651677
17,"(64, 32)",0.0008612579192594886,3.521342459487091e-05,0.5950281933664944,0.3011761844858549,0.4696342255248539,0.23855606575524865,0.5223712283574757,0.26167451469351927,0.9536423841059601,0.030112430581164647,0.8705952705416404,0.04453010970520081
18,"(128,)",0.005047786565710607,0.00036324869566766035,0.7482532116313889,0.05801896189971902,0.6412019334824327,0.06155545143067097,0.6883675780824975,0.04330247369656572,0.9393940891568647,0.016950445054536026,0.9049079741351387,0.015053691989784127
19,"(128,)",0.021154290797261225,1.2414804282743951e-05,0.7463705050843955,0.04710218561429327,0.6543467282302864,0.06722342558154988,0.6944590286212753,0.037813986459412446,0.9374018428827167,0.018494075722492502,0.9080773401365159,0.015893104798414003
20,"(256, 128)",0.06025271171095385,0.006584106160121612,0.7458824965288388,0.056156547138755446,0.7036505302647716,0.06809830227239064,0.7200328001927888,0.03400818124469014,0.9314443236356846,0.023505240594230405,0.9197543644386345,0.015894036037614825
21,"(256, 128)",0.0003872118032174585,0.0015199034037054083,0.7588530884956785,0.0573339081229104,0.6493543034413102,0.05393305128345972,0.6962906332995608,0.025614237528855475,0.9407147485530405,0.02178780083855604,0.9070862060489899,0.011565113461184542
22,"(128, 64)",0.001465655388622534,1.3667272915456215e-05,0.7695973586786647,0.04209561376898644,0.5810764014140394,0.08277697675073124,0.6599091037148296,0.06305796459001925,0.9523019560036463,0.008848593148127219,0.8921611572123771,0.019329798196457595
23,"(128, 64)",0.005757759187507044,6.516990611177177e-05,0.778257559569177,0.06478192223032513,0.6108578024673544,0.09580743904380017,0.6779632271293049,0.0599317928874574,0.9496545967733079,0.02177416133840253,0.8992081722345604,0.021276593266463435
24,"(64, 32)",0.004247058562261873,0.007866216981266844,0.7634317115650411,0.05412637544513135,0.6277757737536974,0.054243164928260354,0.6871734261660606,0.04050899345274775,0.9453494118809924,0.01593992222732137,0.9022143431912794,0.012866828446819582
25,"(128, 64)",0.00016736010167825804,2.6471141828218167e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
26,"(64,)",0.00039459088111000007,0.009133995846860976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
27,"(256,)",0.0003949364447222334,1.0388823104027935e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
28,"(256,)",0.020597335357437203,0.00136152574640065,0.7244795753850615,0.03649160597651005,0.6601616045018398,0.08523731461190483,0.6863993933701706,0.04727740513233061,0.9294531756229887,0.01780104565585765,0.9090552639765737,0.01886972603808608
29,"(128,)",0.00022264204303769702,1.667761543019792e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
30,"(64, 32)",0.0009833181933644897,0.0038842777547031426,0.5903360262264372,0.29825468798628646,0.45527018252651325,0.2329907301023676,0.5112913543034012,0.2568166046209974,0.9539735099337749,0.02808524868694043,0.8673143448320847,0.04333027395906931
31,"(256, 128)",0.0009452571391072313,1.551225912648474e-05,0.749757887630133,0.037803344627704336,0.6782699660919127,0.05063275610385901,0.7119249718636093,0.04329518865600845,0.9377324195798051,0.008454241352798302,0.9136236676966849,0.012911679525207154
32,"(256, 128)",0.04588156549160976,0.0015446089075047066,0.7113002020122761,0.049491795147416986,0.7191256042132602,0.03692559085446954,0.7143768003022608,0.03673751095021206,0.9185221793900256,0.01869309513832203,0.9222315220017243,0.009830331609259155
33,"(128, 64)",0.08225007188121387,0.00026100256506134784,0.7284241734834137,0.04008224949720079,0.6673544477310439,0.09126851363296548,0.6908556205007723,0.04774322822143446,0.9294504299693586,0.019818023143898845,0.910946835371006,0.0199983602627716
34,"(128, 64)",0.004828715216179213,0.003521611738205427,0.7837213442150556,0.0645909121461098,0.5977057932328115,0.08307097695868997,0.6714023539958573,0.04182655910351619,0.9513019889514898,0.023863826792201618,0.8962033621183461,0.0176767567248393
35,"(256,)",0.0036999724314638123,0.002055424552015075,0.7471993577816788,0.055987066564722354,0.6685664814948417,0.06692481159315711,0.7012358554120712,0.03554948546379417,0.9350812164343842,0.022629777052998165,0.911380853285215,0.014295983950711357
36,"(128,)",0.0020797422068521733,0.00019170041589170651,0.7532301455837206,0.058201456739462504,0.5835076834283242,0.055728839347335656,0.6562131997802114,0.05012614114414543,0.9466750134537028,0.015357321036762179,0.8918764633304118,0.013313352300824253
37,"(64,)",0.0008771380343280567,4.0286320828596234e-05,0.14324324324324325,0.2864864864864865,0.12771084337349398,0.25542168674698795,0.13503184713375796,0.2700636942675159,0.9860927152317881,0.027814569536423847,0.8075731626754437,0.04798394724427301
38,"(256, 128)",0.0002618149026594374,0.0003355151022721483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
39,"(256,)",0.0004066152607618115,0.0006505072449557182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
40,"(256,)",0.01214380539778398,0.006738460883888427,0.7279522304795364,0.04820539283451127,0.6722025827862348,0.07073433310779209,0.694746402900309,0.02976040692077311,0.9284625437931753,0.022179477269088824,0.9118216528166883,0.015878603178069828
41,"(128,)",0.026568139241144935,0.004379288100052082,0.770155734512788,0.043476206993679024,0.660327537695693,0.06283022937255324,0.7086029483777596,0.03724423639889603,0.944686061963911,0.015188150727853058,0.9100763776081667,0.014843456918740118
42,"(256, 128)",0.0023420907100434145,0.000794714742465374,0.7738456107542631,0.05190000370283362,0.6326816247024024,0.05826385414502556,0.6938872333628564,0.038482361136734256,0.9480050080722217,0.01444074196221893,0.9036695442987612,0.013625243450818015
43,"(64, 32)",0.04760767751809503,4.5219037252571255e-05,0.7677023951692649,0.07428271509120175,0.6324724045884136,0.07540967741296681,0.6876092492090388,0.03859901944871646,0.9436822509966722,0.026075332951312463,0.9035788446504911,0.01656223976720646
44,"(128,)",0.00023241484492975777,0.0004149795789891589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
45,"(256, 128)",0.0002138729075414894,0.00011719079872167656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
46,"(256, 128)",0.00010036011053920677,4.8284249748183215e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7837488840601681,0.0005539647528671209
47,"(256,)",0.00010491954332267913,0.00011421064100297755,0.0,0.0,0.0,0.0,0.0,0.0,0.9973509933774836,0.005298013245033095,0.7832946731750858,0.0012044461254627767
48,"(64,)",0.0028476716659445486,0.0003405978543532997,0.286585712930462,0.3513141092187538,0.25180722891566265,0.31098343720292393,0.2668818619186644,0.3272618970481336,0.9721854304635761,0.03534525869137193,0.830700209747242,0.05869741558450467
49,"(128,)",0.0010300196600986776,0.0011948354480999254,0.7350008389019063,0.046426388726173586,0.6087583868407763,0.07460152859616054,0.6630605204674598,0.05079709527779248,0.9387225022788925,0.016082125987823583,0.8972669505148598,0.017132729122005037
