,Threshold,out_LR,lost_LR,out_SVC,lost_SVC,out_MLP,lost_MLP,out_MLP_LR,lost_MLP_LR
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,15.56,0.08,11.92,0.08,44.13,0.79,42.99,0.64
2,0.01,21.64,0.1,20.93,0.1,49.2,1.06,47.68,0.85
3,0.015,25.44,0.12,27.35,0.15,51.82,1.23,50.03,1.0
4,0.02,28.54,0.17,32.32,0.21,54.31,1.35,52.19,1.12
5,0.025,30.88,0.19,36.28,0.27,56.16,1.52,53.73,1.23
6,0.03,32.81,0.21,39.5,0.44,57.32,1.6,54.75,1.31
7,0.035,34.54,0.23,42.1,0.56,58.67,1.66,55.87,1.35
8,0.04,36.28,0.27,44.53,0.62,59.83,1.72,56.84,1.41
9,0.045,37.9,0.35,46.33,0.69,60.83,1.87,57.67,1.54
10,0.05,39.38,0.39,48.1,0.73,61.68,1.97,58.26,1.6
11,0.055,40.23,0.48,49.93,0.81,62.43,2.08,58.86,1.66
12,0.06,41.31,0.52,51.38,1.0,63.2,2.14,59.46,1.7
13,0.065,42.37,0.56,52.54,1.1,64.05,2.28,60.23,1.81
14,0.07,43.14,0.6,53.89,1.12,64.74,2.31,60.85,1.83
15,0.075,44.03,0.62,54.97,1.18,65.13,2.37,61.16,1.87
16,0.08,44.76,0.71,55.93,1.2,65.75,2.51,61.6,1.93
17,0.085,45.61,0.73,56.99,1.31,66.27,2.58,61.97,1.97
18,0.09,46.23,0.77,57.86,1.35,66.65,2.64,62.26,2.01
19,0.095,46.96,0.83,58.57,1.5,67.0,2.66,62.55,2.04
20,0.1,47.5,0.85,59.44,1.52,67.33,2.7,62.7,2.06
21,0.105,48.02,0.87,60.12,1.58,67.77,2.82,62.95,2.1
22,0.11,48.62,0.89,60.73,1.58,68.12,2.85,63.14,2.12
23,0.115,49.41,0.96,61.37,1.66,68.47,2.87,63.34,2.14
24,0.12,49.99,1.0,62.01,1.68,68.68,2.89,63.41,2.14
25,0.125,50.53,1.0,62.62,1.77,68.87,2.89,63.55,2.14
26,0.13,51.21,1.04,63.22,1.83,69.14,2.91,63.72,2.14
27,0.135,51.51,1.04,63.9,1.87,69.33,2.97,63.88,2.18
28,0.14,52.07,1.04,64.42,2.01,69.62,3.05,64.05,2.18
29,0.145,52.4,1.06,64.71,2.08,69.95,3.12,64.24,2.18
30,0.15,52.81,1.08,65.36,2.12,70.09,3.12,64.32,2.18
31,0.155,53.4,1.14,65.77,2.14,70.45,3.2,64.55,2.2
32,0.16,53.79,1.2,66.27,2.16,70.7,3.24,64.71,2.2
33,0.165,54.18,1.2,66.67,2.24,70.94,3.24,64.86,2.2
34,0.17,54.31,1.2,67.0,2.24,71.09,3.28,64.9,2.2
35,0.17500000000000002,54.77,1.29,67.29,2.26,71.21,3.3,64.98,2.22
36,0.18,55.08,1.31,67.75,2.31,71.32,3.34,65.07,2.26
37,0.185,55.45,1.33,68.08,2.35,71.55,3.39,65.19,2.28
