id,title,abstract,year,scope,pillar,research_category
pub.1193718255,"Associations between the EAT-Lancet Index, food group consumption and Eatwell Guide adherence in UK adults","The EAT-Lancet Commission’s “Planetary Health Diet” (PHD) aims to optimise population health and environmental sustainability by promoting a plant-forward diet with animal products consumed in moderation (1) . The UK’s Eatwell Guide provides recommendations for key nutrients and food groups to achieve a healthy, balanced diet; greater adherence is associated with environmental benefits (2) . This secondary analysis examines the relationships between PHD adherence, food group intakes and compliance with the Eatwell Guide in UK adults. Data from disease-free UK adults aged ≥18 years (n=452) were pooled from five cross- sectional analyses that recorded habitual dietary intake using the eNutri food frequency questionnaire, which generated nutrient and food group data (3) . EAT-Lancet Index scores were calculated (4) for each participant then stratified into quartiles (Q), with the highest scores in Q4 (representing greater adherence to the PHD). Adherence to the 9 Eatwell Guide recommendations were determined for each quartile then classified as ‘very low’ (0– 2 recommendations met), ‘low’ (3–4) or ‘intermediate-to-high’ (5–9) (2) . ANCOVA (adjusted for sex, age, physical activity, ethnicity, employment status, and body mass index (BMI)) compared the mean daily intakes of 17 food groups across quartiles. If significant, pairwise comparisons with Bonferroni correction were determined. P values ≤0.01 were considered significant for all. Study participants had a mean (SD) age of 44 (19) years and a BMI of 25.7 (6.0) kg/m2 and 79.6% were female. Adherence to the Eatwell Guide was very low in Q1 and Q2, low in Q3 and intermediate-to-high in Q4 (where 5 out of the 9 recommendations were met). Compared to Q1, higher adherence to the PHD (Q4) was associated with higher intakes of ‘fruits and vegetables’ (+408 g/d), ‘pulses’ (+25.0 g/d), ‘whole grains’(+29.2 g/d), ‘nuts and seeds’(+15.8 g/d) ‘plant-based meat alternatives’ (+14.3 g/d) and ‘plant-based dairy alternatives’ (+110 g/d) (all p≤0.001). In contrast, Q4 had lower intakes of ‘eggs’ (-17.0 g/d), ‘potatoes’(-50.5 g/d), ‘poultry’ (-38.1 g/d), ‘red meat’(-40.4 g/d), ‘processed meat’(-22.5 g/d), ‘refined grains’ (-65.0 g/d) and ‘dairy products’ (-110 g/d) relative to Q1 (all p≤0.001). Although intakes of ‘unsaturated fats and oils’ and ‘fish and other seafood’ were highest in Q4, neither was significantly different from the other quartiles. Greater adherence to the PHD was associated with higher intakes of plant-based foods (including a two-fold higher intake in fruits and vegetables), and lower consumption of animal products, notably a five-fold lower intake of red meat. Moreover, UK adults whose diets more closely reflected the PHD also met a higher proportion of Eatwell Guide recommendations. These findings suggest that closer adherence to the PHD aligns with greater compliance to UK dietary guidelines (Eatwell Guide), reflecting a more favorable dietary pattern.",2025,in,PB,Consumer & market research
pub.1195208348,Plant-based proteins for infant formula: findings and recommendations from the ILSI Europe workshop,"This Review Article summarizes outcomes from the ILSI Europe expert workshop on plant-based proteins in infant formula, held in November 2024. Experts from academia, clinical nutrition, and food science evaluated the current use and future potential of plant-based protein sources in infant formula, considering nutritional adequacy, allergenicity, sustainability, processing technologies, and regulatory constraints. While soy and hydrolyzed rice proteins are already approved and in use, emerging sources such as pea, lentil, and faba beans show promise but require further validation of their amino acid profiles, digestibility, safety, and suitability for infants. Key research priorities identified include the development of improved protein extraction methods, in vitro digestion and allergy modeling, and targeted clinical studies. This review synthesizes current evidence and expert perspectives to support the development of sustainable, nutritionally adequate plant-based infant formulas.",2025,in,PB,Health & nutrition 
pub.1193233825,"Development of plant-based infant complementary food from Cucumeropsis mannii, Dioscorea dumetorum, Musa paradiasica, and Malus domestica fermented with lactic acid bacteria","Plant-based complementary foods offer a promising alternative to conventional infant formulas; however, their nutritional limitations, anti-nutritional factors, and functional properties require optimization to ensure suitability for infant nutrition. In this study, a novel ready-to-eat plant-based infant food in paste form was developed from Cucumeropsis mannii (Melon seeds), Dioscorea dumetorum (sweet Yellow Yam tubers), banana, and apple through fermentation with lactic acid bacteria (LAB) to enhance its nutritional properties. After starter screening and fermentation optimization, the formulation was individually inoculated with 6 Log CFU/g of Lacticaseibacillus paracasei (SK8), Leuconostoc mesenteroides (GSL7), and Lactiplantibacillus plantarum (AFI5), and incubated at 30 °C for 24 h. Subsequently, the effect of fermentation on chemical composition, peptide profile, and antioxidant capacity was investigated. Compared to the control formulation (RAW-F3), fermentation induced distinct changes in sugar consumption, free amino acids content, peptides profiles, along with reductions in key anti-nutritional factors (particularly phytic acid and saponins). Proteolysis driven by enzymes produced by LAB contributed to a modified free amino acid profile, with the formulation inoculated with L. paracasei (SK8-F3) having the highest amounts of free amino acids (401.8 mg/100 g). Likewise, a notable change in peptide profile was observed, and the formulation was inoculated with L. mesenteroides (GSL7-F3) recorded the highest diverse number of peptides (3352), followed by the formulation inoculated with L. plantarum (3417), and SK8-F3 (2697). In SK8-F3, phytic acid and saponins were significantly reduced by 75% and 50%, respectively, compared to RAW-F3 (P < 0.05). Generally, fermentation enhanced total phenolic content and antioxidant activity, with the highest phenolics in GSL7-F3 (267 mg/L) and the strongest DPPH scavenging in AFI5-F3 (61.3%). Procyanidin B2 and caffeic acid peaked in SK8-F3, while ferulic acid and phloridzin remained consistently high across all formulations. Metabolism by LAB also contributed to improved sensory properties, with the SK8-F3 and AFI5-F3 formulations receiving the highest sensory scores. Overall, our findings affirm the role of LAB in enhancing the nutritional quality, safety, and sensory characteristics of foods, supporting their application in infant food formulations.",2025,in,PB,End product formulation
pub.1191132017,ELABORACIÓN DE ANÁLOGOS CÁRNICOS MEDIANTE EL PROCESO DE EXTRUSIÓN DE ALTA HUMEDAD A PARTIR DE AISLADO DE PROTEÍNA DE HABA Y SALVADO DE TRIGO INTEGRAL,"El interés por una alimentación saludable ha crecido en los últimos años, aumentando el consumo de proteínas. La carne es la principal fuente de proteínas, aunque su consumo se ha visto reducido por su impacto negativo en la salud, el medio ambiente y su elevado precio. Esto impulsa la búsqueda de alternativas más sostenibles, como los análogos cárnicos. Estos productos imitan la carne y son elaborados a partir de proteínas vegetales mediante la tecnología de extrusión. Entre las diversas fuentes de proteínas vegetales, las legumbres son las más comunes por su elevada calidad proteica. Este estudio se centró en el desarrollo de análogos cárnicos utilizando aislado de proteína de haba y salvado de trigo integral en una proporción 2:1 respectivamente. Se elaboraron tres lotes con diferente contenido de agua:harina inicial, siendo HA: 60%:40%, HM: 50%:50% y HB: 40%:50% respectivamente. Los lotes HA y HM se prepararon mezclando el agua y la materia prima antes de añadirlos al extrusor. El lote HM se elaboró añadiendo la materia prima manualmente al extrusor y el flujo de agua fue de 18 ml/min a través de una bomba. Las muestras se procesaron en una extrusora de doble tornillo a una velocidad de 150 rpm. Se evaluó el índice de absorción de agua de la harina de haba y su mezcla con salvado de trigo, sin encontrarse diferencias significativas entre ambas. Las muestras texturizadas presentaron diferentes niveles de humedad lo que afectó el color y la textura. La muestra HB, con menor humedad, fue la más oscura. En cuanto a la textura, la muestra HB tuvo mayor dureza, gomosidad y masticabilidad que HM y HA debido a su menor contenido de humedad. No se observaron diferencias significativas en la capacidad de retención de agua entre las muestras. Interest in healthy eating has grown in recent years, increasing the consumption of protein. Meat is the main source of protein, although its consumption has been reduced due to its negative impact on health, the environment and its high price. This is driving the search for more sustainable alternatives, such as meat analogues. These products mimic meat and are made from vegetable proteins using extrusion technology. Among the various sources of vegetable proteins, pulses are the most common due to their high protein quality. This study focused on the development of meat analogues using bean protein isolate and whole wheat bran in a 2:1 ratio respectively. Three batches were prepared with different initial water:flour content, being HA: 60%:40%, HM: 50%:50% and HB: 40%:50% respectively. The HA and HM batches were prepared by mixing the water and raw material before adding them to the extruder. The HM batch was prepared by adding the feedstock manually to the extruder and the water flow was 18 ml/min through a pump. The samples were processed in a twin screw extruder at a speed of 150 rpm. The water absorption rate of broad bean flour and its mixture with wheat bran were evaluated, with no significant differences between the two. The textured samples had different moisture levels, which affected colour and texture. The HB sample, with the lowest moisture content, was the darkest. In terms of texture, the HB sample had higher hardness, gumminess and chewiness than HM and HA due to its lower moisture content. No significant differences in water holding capacity were observed between the samples.",2025,in,PB,End product formulation
pub.1188951678,Modifications in lipids and storage proteins composition during germination of chia seeds (Salvia hispanica L.),"Salvia hispanica L. (chia) is a plant of the Lamiaceae family native to Central America, is mainly grown in southwestern France, with a preference for the ORURO® variety. Chia seeds contain over 30 % oil and 19 % protein. They are rich in omega-3 (ω3) and omega-6 (ω6) fatty acids, with a favorable ω3/ ω6 ratio, making them a valuable source of nutrients. Chia seeds store nutrients in lipid droplets and protein bodies. During germination, these nutrients are mobilized to support seedling growth. This study explores how germination can enhance the quality of chia seed reserves for food applications. Thus, we examined the biochemical and metabolic changes during germination leading to the breakdown and mobilization of seed reserves. Using proteomics and lipidomics, we monitored changes in storage proteins and lipids during chia seed germination. Our findings revealed significant molecular remodeling, suggesting that germination may enhances chia's nutritional value for human consumption.",2025,in,PB,Ingredient optimisation
pub.1187223408,"Research progress on lentil-based composite flours: physicochemical, techno-functional properties, and high-performance food applications","As the global population continues to grow, there is an increasing need to explore alternative nutrition sources that are sustainable, affordable, and environmentally friendly. Lentils, from leguminous crops, are a promising option because of their high protein content and numerous health benefits. The Food and Agriculture Organization (FAO) has recommended the development of composite flours as an effective way to incorporate local, nutritious grains into food products. Composite flours are mixtures of different flours, often combining traditional grains with healthier alternatives like lentils. These flours are cost-effective, quick to produce, and improve food quality. While many studies explore lentil-based composite flours, few provide comprehensive reviews of their physicochemical and technological properties. Understanding these properties—such as water absorption, binding capacity, and effects on food texture and flavor—is crucial for predicting their quality and potential applications in various food systems. By reviewing the techno-functional and physicochemical characteristics of lentil-based composite flours, this study aims to fill that gap and provide insights that could promote the commercialization of food products made with these flours. Ultimately, this could help make healthier, sustainable food options more accessible to a larger population.",2025,in,PB,Ingredient optimisation
pub.1191085313,"Pseudocereals for modern diets: Multifunctional grains with superior bioactive properties, nutraceutical potential, and diverse industrial applications","Pseudocereals, such as quinoa, buckwheat, and amaranth, have emerged as promising alternatives to traditional cereals due to their superior nutritional composition, abundance of bioactive compounds, and multifunctional properties. This review synthesizes the current knowledge of bioactive compounds present in these multifunctional grains, highlighting their superior antioxidant, anti-inflammatory, anticancer, hypocholesterolemic, and antidiabetic properties. It discusses the major bioactive compounds, including polyphenols, flavonoids, saponins, fagopyritols, and peptides, and advanced analytical approaches, including HPLC and UPLC for separation, and MS/MS and NMR spectroscopy for detection and structural elucidation. The review also highlights the nutraceutical potential of pseudocereals in preventing chronic diseases, promoting overall health, and addressing nutritional deficiencies. Furthermore, pseudocereals demonstrate significant industrial potential through their versatile applications in gluten-free bakery products, meat analogues, dairy substitutes, fermented beverages, edible films, animal feed formulations, and nutraceutical delivery systems. Considering their adaptability to marginal environments, resilience to climate stress, and superior nutritional profiles, integrating pseudocereals into modern agriculture and diets aligns with achieving SDGs such as zero hunger, good health and well-being, and sustainable agriculture. This review serves as a comprehensive resource bridging the gap between research and industry applications, highlighting future opportunities for utilizing pseudocereals to enhance food security and support sustainable agricultural systems.",2025,in,PB,Ingredient optimisation
pub.1188583025,Balancing culinary excellence with ethical responsibility: A scientific perspective on animal welfare in gastronomy,"The culinary industry not only seeks gastronomic excellence but must also address society's mounting concern for animal welfare. This review explores scientific and technological advances shaping animal welfare across the contemporary food system, mapping five critical value-chain stages, animal breeding and rearing; transport and handling; slaughter practices; distribution and procurement; and culinary preparation, where ethical tensions and welfare risks converge. It synthesizes welfare frameworks from the “Five Freedoms” to sentience-based and competence models, highlighting empirical gaps, particularly for crustaceans and insects, that have prompted precautionary bans such as Switzerland's prohibition on boiling lobsters alive. It is catalog key innovations, cultured meat regulatory milestones on March 21 and July 2023, plant-based analogues from pea protein to seitan, and emerging insect-protein applications and assess their potential to decouple gastronomic quality from animal harm. By comparing EU and US regulatory frameworks and private certification schemes, it identify fragmented standards as a barrier to coherent supply-chain compliance. The paper concludes by outlining a roadmap to integrate animal welfare science into culinary curricula, foster multi-stakeholder partnerships, and leverage precision livestock and vertical-farming technologies to advance a sustainable, responsible, and compassionate gastronomy.",2025,in,CC,Other
pub.1148377610,"Children Prefer Natural Food, Too","Adults often prefer things that they believe are natural, including natural foods. This preference has serious implications, such as the rejection of cultured meat and other sustainable technologies. Here we explore whether children also prefer natural foods. We conducted two preregistered studies with 374 adults and children from the United States. In Study 1, children's (N = 120) ages ranged from 6-10 years, with 57% of the sample identifying as female identifying as White/European American, whereas adults (N = 120) had a mean age of 30 years and 4 months, with 48.7% identifying as female, and 69.2% identifying as White/European American. In Study 2, children's (N = 63) aged ranged from 5-7 years, with 57% identifying as female and 66% identifying as White/European American, whereas adults (N = 64) had a mean age of 29 years and 11 months, with 60.7% of the sample identifying as female and 59% of participants identifying as White/European American. We found that, like adults, American children of these ages prefer natural over unnatural foods. This was found across two domains (fruit, juice) and a range of measures (tastiness, safety, unnaturalness, desire to consume). This preference was found in children as young as 5 years of age. Overall, we provide evidence that, at least in the United States, our tendency to prefer natural food is present even in childhood. (PsycInfo Database Record (c) 2022 APA, all rights reserved).",2025,in,CC,Consumer & market research
pub.1181836516,"Gastrointestinal fate of proteins from commercial plant–based meat analogs: Silent passage through the stomach, oxidative stress in intestine, and gut dysbiosis in Wistar rats","Plant-based meat analogs (PBMAs) are common ultra-processed foods (UPFs) included in the vegan/vegetarian diets as presumed healthy alternatives to meat and meat products. However, such health claims need to be supported by scientific evidence. To gain further insight into this topic, two commercial UPFs typically sold as meat analogs, namely, seitan (S) and tofu (T), were included in a cereal-based chow and provided to Wistar rats for 10 weeks. A group of animals had, simultaneously, an isocaloric and isoprotein experimental diet formulated with cooked beef (B). In all cases, experimental chows (∼4 kcal/g feed) had their basal protein concentration increased from 14% to 30% using proteins from S, T, or B. Upon slaughter, in vivo protein digestibility was assessed, and the entire gastrointestinal tract (digests and tissues) was analyzed for markers of oxidative stress and untargeted metabolomics. Metagenomics was also applied to assess the variation of microbiota composition as affected by dietary protein. Diets based on PBMAs showed lower protein digestibility than those containing meat and promoted an intense luminal glycoxidative stress and an inflammatory intestinal response. The fermentation of undigested oxidized proteins from T in the colon of Wistar rats likely led to formation of mutagenic metabolites such as p-cresol. The presence of these compounds in the animal models raises concerns about the potential effects of full replacement of meat by certain PBMAs in the diet. Therefore, future research might target on translational human studies to shed light on these findings.",2025,in,PB,Health & nutrition 
